"RIG OF MILLMORE",,,,,,,,,,,,
Grid ref,NX435886,Long,-4.458452,Lat,55.166884,,,,,,,
Station no,RR3094,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.18,10.40,,,,,,,,,,
February,5.37,3.29,,,,,,,,,,
March,5.16,3.90,,,,,,,,,,
April,3.27,3.19,,,,,,,,,,
May,3.27,3.71,,,,,,,,,,
June,3.75,6.52,,,,,,,,,,
July,5.07,6.75,,,,,,,,,,
August,10.55,7.55,,,,,,,,,,
September,8.90,7.15,,,,,,,,,,
October,1.03,12.15,,,,,,,,,,
November,14.83,6.19,,,,,,,,,,
December,18.73,9.50,,,,,,,,,,
Total,88.11,80.30,,,,,,,,,,
Calc annual,88.11,80.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
