WESTONBIRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST848898 ,Long,-2.221,Lat,51.607,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,,2.41,3,4.32,4.13,2.77,5.41,3.83,0.89,0.86,4.13,3.14,1.35,2.27,2.68,3.21,0.66,1.93,0.54,4.9,3.97,2,1.67,3.92,4,0.48,4.73,1.78,2.59,2.02,3.95,1.84,5.22,6.58,1.44,4.93,3.54,1.78,3.04,5.77,4.76,3.83,3.9,2.44,4.19,3.13,5.55,3.97,5.82,1.32,4.97,2.59,4.36,2.59,3.06,0.81,3.56,4.21,4.03,5.53,2.71,3.66,3.42,5.69,2.06,2.49,2.94,2.24,5.27,1.24,0.84,3.93
February,,3.97,3.14,5.07,2.09,3.92,0.74,0.68,1.17,2.11,0.66,0.52,1.56,3.67,3.71,0.38,0.41,4.45,1.56,4.02,6.21,0.85,1.14,1.89,5.21,0.57,2.39,2.16,1.98,0.91,5.77,2.62,3.14,1.76,4.64,5.04,5.05,1.33,1.95,3.23,1.54,0.52,4.78,7.04,0.39,4.53,2.73,4.02,3.41,1.08,0.96,2.84,0.27,2.93,0.32,3.11,2.51,4.86,1.06,1.6,3.23,4.35,0.65,1.63,0.84,2.88,2.66,1.4,1.67,1.45,6.65,4.19
March,1.09,2.38,2.64,0.71,1.92,1.07,2.65,1.88,4.86,3.66,1.5,2.18,0.92,0.8,2.77,3.27,3.36,4.09,0.5,0.81,1.03,2.77,2.11,4.62,1.46,4.58,2.57,1.41,3.53,4.8,1.27,3.33,6.7,5.3,6,1.7,5.36,2.99,1.17,5.23,3.18,2.67,3.96,2.43,1.65,0.46,0.67,4.31,4.15,0.22,2.85,0.67,2.79,3.64,2.4,0.76,2.5,3.65,0.29,1.73,2.56,3.06,2.52,1.18,0.22,1.12,1.28,7.63,1.7,1.94,1.43,3.69
April,2.38,0.57,4.6,0.82,1.78,2.28,2.22,1.41,1.69,3.7,1.18,1.8,1.38,0.11,2.74,2.73,1.14,2.85,2.96,2.41,1.31,3.41,2.03,2.67,2,3.12,1.33,3.46,3.28,2.99,3.11,1.75,0.48,4.57,1.85,1.22,1.84,1.82,2.5,1.94,5.2,1.06,3.15,3.25,3.12,2.12,3.13,1.63,1.64,1.03,2.87,3.2,3.55,1.58,1.73,4.62,2.4,3.37,0.13,3.16,2.6,1.36,1.38,0.81,2.1,1.12,2.45,2.99,3.19,1.87,2.88,3
May,0.78,1.71,2.06,1.81,1.74,2.62,4.76,1.77,1.73,2.42,1.87,4.2,1.08,1.55,2.02,1.86,0.24,0.95,3.17,2.01,2.15,1.42,2.34,4.25,2.34,0.38,1.8,2.73,1.79,1.58,2.46,1.34,3.04,3.03,2.17,3.31,3.47,3.11,2.39,0.71,2.46,2.87,1.02,2.19,6.13,4.08,2.96,1.11,0.86,2.28,2,4.26,6.69,2.57,1.16,1.05,0.75,2.1,2.15,0.94,2.45,2.74,4.6,3.22,0.86,2.57,4.76,2.67,4.57,3.17,2.45,2.85
June,2.29,3.88,4.01,3.48,2.77,1.53,1.95,1.73,3.42,0.76,2.79,2.24,2.85,1.12,2.21,0.89,3.48,4.39,2.01,1.75,2.24,1.46,3.35,4.96,1.42,2.98,3.39,3.92,1.26,4.59,5.22,2.74,5.21,1.12,2.88,1.38,2.36,4.08,1.26,1.38,3.55,0.2,1.52,0.46,2.39,0.01,1.9,3.59,2.67,1.43,1.05,4.24,1.64,1.8,1.8,3.12,1.95,1.36,1.52,2.21,0.45,2.54,0.32,2.6,2.62,3.41,2.66,1.72,2.31,0.86,1.81,0.95
July,5.64,1.96,5.36,3.46,3.23,0.94,2.44,0.72,6.33,2.47,3.46,4.92,4.06,4.17,2.78,3.36,1.43,1.76,0.65,1.43,1.43,3.58,1.01,2.86,3.79,1.38,1.09,3.52,2.45,3.36,3.21,0.31,2.87,1.05,4.78,4.63,1.77,3.36,4.85,2.74,4.51,0.69,4.4,1.96,4.98,3.97,3.82,4.08,2.66,1.66,3.6,5.62,2.92,2.89,0.99,0.88,6.05,3.52,2.45,4.23,4.33,2.89,3.11,2.16,2.34,1.12,1.31,4.4,0.87,1.04,4.05,0.97
August,1.31,5.32,2.98,0.97,1.4,2.28,1.77,1.44,2.17,3.16,2.33,7.87,3.27,2.43,3.64,2.63,2.28,6.17,2.65,0.79,4.15,2.93,4.16,4.02,3.04,4.05,1.58,1.8,4.16,3.67,5.48,2.18,7.32,1.07,2.32,2.6,4.96,6.74,1.85,2.73,1.34,2.05,4.95,3.55,3.33,4.06,2.34,5.26,2.41,2.56,3.25,4.5,1.4,0.85,2.51,2.45,0.37,0.6,3.12,2.42,0.13,3.8,5.3,3.44,2.69,2.43,7.41,0.6,3.88,2.14,3.96,5.2
September,4.69,2.19,4.55,4.38,2.15,4.48,3.19,3.49,1.13,1.94,1.15,2.34,3.19,1.13,2.74,0.71,7.95,3.49,1.38,2.38,0.78,2.86,2.81,3.89,2.92,1.18,0.77,0.75,4.25,4.08,0.61,1.74,1.27,3.63,1.94,1.82,2.22,2.39,7.99,1.9,1.78,2.58,2.13,3.11,4.15,4.24,1.26,6.07,1.4,0.31,4.39,2.95,4.32,2.78,2.43,6.22,3.24,2.28,3.51,2.1,1.21,0.68,2.08,2,3.22,2.47,4.01,1.8,2.62,3,4.88,3.3
October,5.25,2.21,5.53,3.19,1.37,3.78,5.28,2.62,1.02,2.91,1.7,9.81,4.49,4.13,5.24,3.13,4.38,1.79,5.2,3.95,3.21,1.54,2.04,7.06,1.16,1.26,6.55,6.57,2.37,7.16,4.06,4.19,4.74,4.13,2.15,5.74,6.2,4.75,2.03,1.95,2.42,1.52,1.32,5.69,5.3,4.2,3.72,2.27,5.34,4.84,2.91,0.79,6.58,3.45,2.25,6.05,2,3.23,5.22,2.92,4.12,1.9,4.36,2.74,5.04,4.12,1.05,0.38,3.51,6.81,1.08,0.6
