HOO-LODGE-HILL,,,,,,,,,,
Grid ref,TQ757734,Long,0.526214,Lat,51.432358,Elevation,150,ft,,
Station no,0373/4/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.87,1.65,0.79,1.38,2.76,3.82,0.94,1.98,1.81,1.61
February,5.26,0.91,0.97,1.76,1.82,0.37,2.73,1.95,0.07,1.63
March,2.78,3.15,0.27,2.1,1.05,0.54,0.98,0.96,1.7,1.29
April,2.07,0.86,1.86,0.24,0.15,1.32,0.16,1.53,1.98,0.48
May,2.5,0.96,1.48,2.14,3.91,0.27,1.29,1.61,0.85,2.54
June,1.07,1.32,1.94,4.03,2.49,1.81,0.95,4.18,0.72,1.62
July,3.14,0.74,3.39,2.18,0.37,3.15,3.06,2.82,0.89,2.23
August,2.68,2.3,1.95,3.31,0.57,2.34,2.76,4.43,0.86,2.73
September,3.39,3.06,2.51,1.27,2.16,1.59,3.01,3.54,0.06,3.42
October,0.79,1.61,1.8,1.7,4.03,1.3,1.23,3.03,2.36,4.97
November,3.17,4.67,1.06,3.95,0.73,0.51,2.71,1.56,3.32,4.17
December,1.68,1.95,0.81,1.15,1.62,2.34,1.88,3.23,3.6,2.52
Total,30.4,23.18,18.83,25.21,21.66,19.36,21.7,30.82,18.22,29.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1958 Mar IDR,,,,,,,,,,
1960 Jul IDR,,,,,,,,,,
