BISHOPS-STORTFORD-DUNMOW-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL499213,Long,0.175882,Lat,51.870138,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,964/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.89,2.06,4.09,4.01,2.93,5.21,1.95,2.17,2.45,4.39,1.39,1.66,1.89,1.61,3.81,1.4,1.3,2.57,2.09,1.05,1.14,2.29,3.29,1.17,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.3,2.3,2.07,3.76,0.94,0.93,1.07,2.08,1.04,1.14,1.12,1.5,2.41,1.73,1.29,1.29,3.44,4.53,0.64,1.94,2.16,1.79,0.67,2.79,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.36,0.46,0.95,3.01,0.37,1.84,3.06,3.18,1.38,0.49,0.25,0.92,1.3,4.98,0.93,0.89,0.66,3.05,2.93,0.4,2.2,1.42,0.78,1.16,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.93,3.86,1.33,2.99,0.19,2.92,1.88,1.61,1.39,1.14,1.86,1.17,1.09,1.97,2.02,1.77,1.8,2.71,1.27,2.68,0.28,0.37,1.17,0.29,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.6,1.73,0.75,2.59,2.75,1.15,0.94,1.8,2.26,1.72,1.04,2.74,1.97,0.66,2.95,3.04,1.77,2.55,1.05,1.56,1.66,4.91,0.52,0.56,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.12,4.37,5.36,1.73,0.37,1.58,0.33,0.9,0.56,1.8,2.29,1.83,2.14,2.72,2.78,0.88,1.42,1.02,1.84,2.12,2.18,3.02,1.89,1.72,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.57,0.55,4.55,3.56,1.93,2.65,3.08,4.12,2.18,,1.76,2.19,3.05,3.41,1.33,1.36,3.35,1.05,0.67,3.46,3.16,0.63,3.54,2.87,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.23,1.54,0.67,0.62,1.2,2.89,0.05,5.2,2.15,1.3,2.72,1.01,3.35,0.05,4.26,1.34,2.39,5.03,5.69,2.47,3.32,1.09,4.58,2.49,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.63,3.42,3.84,1.9,3.02,2.04,1.06,0.56,1.73,1.91,3.15,2.55,3.81,1.59,1.27,0.51,3,2.86,2.71,1.46,1.59,2.01,1.97,3.66,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.33,3.01,1.89,1.81,2.78,5.18,2.75,1.78,4.34,2.21,3.39,2.18,1.41,0.12,2.15,5.64,0.46,0.97,2.34,3,2.53,4.02,1.68,2.4,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
