CREWKERNE-SEABOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,ST430059,Long,-2.81005,Lat,50.84983,Elevation,300,ft,,,,,,,,,,,,
Station no,RR7791,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,3.97,5.43,2.42,8.69,1.52,4.79,0.54,3.57,1.37,,,,,,,
February,,,,,3.72,2.17,3.41,1,2.73,5.5,4.98,5.94,2.42,,,,,,,
March,,,,,0.91,1.2,3.49,2.12,1.52,0.54,1.64,3.41,1.45,,,,,,,
April,,,,,3.47,1.43,3.13,4.18,3.82,3.72,2.58,1.75,5.39,,,,,,,
May,,,,,0.82,3.2,0.55,3.5,6.52,2.71,1.09,0.67,1.48,,,,,,,
June,,,,,1.88,3.35,2.07,1.52,2.89,7.22,1.27,3.36,3.69,,,,,,,
July,,,,,1.49,5.82,0.84,2.67,1.69,2.91,3.85,2.65,4.51,,,,,,,
August,,,,,2.43,2.33,2.83,4.28,4.71,4.81,0.79,5.03,3.52,,,,,,,
September,,,,,5.9,3.72,6.06,3.15,1.93,3.81,4.77,1.47,3.23,,,,,,,
October,,,,,4.73,8.68,3.03,2.69,4.67,1.42,5.57,1.77,9.53,,,,,,,
November,,,,,2.54,5.46,4.73,8.59,3.58,0.27,3.9,6.2,3.83,,,,,,,
December,,,,,4.6,1.59,12.28,1.79,2.4,1.02,4.17,3.17,3.95,,,,,,,
Total,,,,,36.46,44.38,44.84,44.18,37.98,38.72,35.15,38.99,44.37,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Distance to church puts gauge at Seaborough Farm,,,,,,,,,,,,,,,,,,,,
