BRADFORD BROWN BOYD REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE144333,Long,-1.7828747,Lat,53.795812,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.85,4.01,1.46,0.21,0.68,3.87,4.71,5.34,1.51,4.6,1.49,0.63,0.67,2.94,1.44,2.04,,,,,,,
February,,,,,,,,2.61,1.41,3.31,2.73,4.77,1.61,1.67,2.42,3.02,0.54,0.32,1.64,0.94,0.71,0.04,2.4,,,,,,,
March,,,,,,,3.82,3.22,1.92,1.5,2.8,3.78,2.83,1.2,2.01,1.93,2.63,1.61,2.65,2.25,1.28,0.99,0.92,,,,,,,
April,,,,,,,2.61,3.59,1.78,2.43,2.13,1.3,4.17,3.37,2.17,1.66,1.75,0.39,2.16,2.43,0.7,1.19,1.1,,,,,,,
May,,,,,,,0.81,2.36,5.89,1.46,2.46,1.63,0.96,0.49,1.42,2.09,4.39,1.11,0.57,2.24,1.81,1.8,2.42,,,,,,,
June,,,,,,,2.08,1.33,3.21,5.26,1.9,2.26,3.27,3.56,1.48,2.85,0.86,0,2.23,0.16,2.65,1.12,2.9,,,,,,,
July,,,,,,,1.7,3.62,1.3,3.31,5.36,3.28,3.61,3.28,3.56,0.78,4.29,1.05,4.61,2.34,2.19,1.41,1.12,,,,,,,
August,,,,,,,2.41,4.87,7.18,4.61,1.48,4.06,1.42,1.77,0.97,0.73,1.22,1.21,2.29,3.25,3.7,3.52,1.73,,,,,,,
September,,,,,,,3.68,3.65,3.72,1.52,3.82,3.2,1.89,6.61,1.74,3.04,1.15,3.47,0.37,0.95,0.83,1.43,0.77,,,,,,,
October,,,,,,,3.57,4.3,2.93,0.95,4.9,4.56,4.12,3.52,1.06,4.79,4.52,1.46,0.82,3.82,1.02,2.74,6.69,,,,,,,
November,,,,,,,4.01,4.18,2.58,1.44,3.14,4.53,4.81,3.53,1.39,2.67,1.51,1.82,5.79,0.71,2.88,2.37,1.8,,,,,,,
December,,,,,,,7.65,3.26,1.77,1.72,4.34,3.26,4.63,1.38,3.28,0.75,3.3,1.36,1.69,1.18,0.74,3.75,0.61,,,,,,,
Total,,,,,,,,41.84,37.7,28.97,35.27,37.31,37.19,35.09,26.84,25.82,30.76,15.29,25.45,20.94,21.45,21.8,24.5,,,,,,,
