TAUNTON-COLLEGE-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST235239,Long,-3.09101,Lat,51.00942,Elevation,80,ft,,,,,,,,,,,,
Station no,RR7664,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.17,3.62,5.06,1.61,3.29,4.86,3.98,3.16,3.15,0.76,,,
February,,,,,,,,2.4,2.02,2.7,2.01,1.06,3.31,1.21,2.72,2.22,2.93,,,
March,,,,,,,,4.85,1.66,1.38,1.45,1.42,2.05,3.33,0.39,1.1,4.18,,,
April,,,,,,,,1.87,1.08,0.66,0.48,3.21,3.64,0.64,2.23,1.15,3.14,,,
May,,,,,,,,2.79,0.81,4.91,0.98,0.7,2.06,0.91,1,2.64,0.13,,,
June,,,,,,,,1.33,0.5,1.02,0.6,2.25,3.29,1.49,1.21,2.38,1.09,,,
July,,,,,,,,6.28,0.74,0.54,0.71,3.49,3.62,2.13,0.86,4.78,0.48,,,
August,,,,,,,,1.45,5.31,0.38,2.07,1.22,1.78,4.09,,2.29,2.26,,,
September,,,,,,,,1.3,4.16,3.38,1.25,4.82,2.21,1.84,,2.62,4.37,,,
October,,,,,,,,3.59,1.68,2.98,3.22,3.09,4.22,2.12,4.72,6.38,2.45,,,
November,,,,,,,,1.2,2.04,1.73,2.68,0.96,4.2,2.76,2.41,4.18,5.36,,,
December,,,,,,,,1.33,6.1,3.91,2,2.02,5.47,0.44,3.46,0.63,7.7,,,
Total,,,,,,,,32.56,29.72,28.65,19.06,27.53,40.71,24.94,,33.52,34.85,,,
,,,,,,,,,,,,,,,,,,,,
1873 Total less than surrounding stations but observer gave no explanation,,,,,,,,,,,,,,,,,,,,
1877 School built here 1867-1879 When it had to return to old buildings Kings College replaced it,,,,,,,,,,,,,,,,,,,,
