THORGANBY - THICKET PRIORY,,,,,,,,,
Grid ref,SE697435,Long,-0.941,Lat,53.883,Elevation,26,ft,
Station no,RR4756,,,,,,,,
,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874
January,1.35,3.31,1.59,2.00,0.80,0.80,2.03,2.15,0.37
February,1.63,0.92,0.62,0.79,1.33,1.37,2.34,2.36,0.98
March,1.37,1.09,0.91,1.55,1.43,,1.22,0.20,-999.00
April,0.78,2.67,1.19,1.53,0.71,2.42,1.60,1.45,-999.00
May,0.90,1.70,0.56,3.53,0.84,1.44,1.60,2.28,1.72
June,1.98,1.74,0.62,1.02,2.55,3.75,3.48,1.10,0.87
July,2.84,2.49,0.51,0.80,0.02,4.51,3.97,0.70,2.11
August,2.72,4.07,2.18,1.36,1.46,0.50,2.93,1.20,1.71
September,3.61,2.03,1.79,2.07,0.90,4.06,4.64,1.78,1.27
October,1.94,0.85,2.23,1.53,4.74,1.62,3.64,1.41,1.62
November,1.96,1.04,1.33,1.54,0.79,1.50,3.64,0.94,2.55
December,1.71,1.24,4.92,4.20,2.33,1.16,2.96,1.16,2.59
Total,22.79,23.15,18.45,21.92,17.90,,34.05,16.73,19.47
,,,,,,,,,
TYRain_1860-1869_05_pt1/160,,,,,,,,,
TYRain_1870-1879_08_pt2/019,,,,,,,,,
,,,,,,,,,
# The reading for March 1871 is an estimate and has been omitted.,,,,,,,,,
# March-April 1874 are grouped into a single aggregate reading of 3.68 on the sheet.,,,,,,,,,
