WANTAGE-GINGE-MANOR-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU447865,Long,-1.3563689,Lat,51.575601,Elevation,370,ft.,,,,,,,,,,,,
Station no,RR4742,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.56,0.78,2.15,1.02,4.44,3.98,0.66,,,,,
February,,,,,,,,,1.03,0.65,3.66,1.75,2.31,1.14,3.14,,,,,
March,,,,,,,,,3.51,2.64,0.91,2.08,4.35,3.37,4.75,,,,,
April,,,,,,,,,3.94,1.72,2.58,1.22,0.06,3.55,0.84,,,,,
May,,,,,,,,,2.14,1.67,2.02,1.72,2.05,2.55,1.46,,,,,
June,,,,,,,,,1.42,4.43,5.41,2.27,3.52,0.61,,,,,,
July,,,,,,,,2.91,2.42,1.98,2.12,0.08,2.25,2.67,,,,,,
August,,,,,,,,1.66,3.46,3.6,2.44,2.28,4.5,1.23,,,,,,
September,,,,,,,,0.68,2.51,2.92,0.44,1.18,1.64,2.24,,,,,,
October,,,,,,,,6.7,1.46,4.35,4.21,2.36,3.52,4.25,,,,,,
November,,,,,,,,2.28,1.25,0.85,3.84,2.93,2.23,2.77,,,,,,
December,,,,,,,,4.84,2.12,3.94,5.4,6.66,3.77,1.09,,,,,,
Total,,,,,,,,,26.82,29.53,35.18,25.55,34.64,29.45,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is East Ginge Manor. Stated altitude of 332 ft. is too low,,,,,,,,,,,,,,,,,,,,
