PETERSFIELD-STONER-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU729258,Long,-0.96124,Lat,51.02732,Elevation,748,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,738/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.86,6.77,2.38,3.76,5.09,7.67,3.46,7.84,2.05,6.94,3.49,4.39,2.92,3.64,1.08,7.32,9.86,5.04,7.22,3.64,3.66,4.71,7.99,3.01,2.3,4.07,3.92,7.53,1.23,1.23
February,,0.31,4.51,7.74,0.58,6.36,2.95,6.06,3.21,1.3,1.12,2.77,0.35,6.02,0.12,5.51,3.36,7.01,0.84,2.32,4.61,4.35,0.73,1.99,0.88,3.01,3.67,2.42,2.08,2.21,6.93
March,,2.02,3.57,2.45,2.18,0.9,0.74,5.27,3.32,0.16,1.18,0.67,2.36,5.45,3.72,0.88,2.71,4.95,0.42,1.63,3.99,4.43,3.06,0.81,0.33,0.9,1.38,8.28,1.38,1.78,2.69
April,,1.12,4.89,4.4,4.42,3.51,3.42,2.86,2.04,0.8,3.15,4.35,3.73,1.2,3.07,4.34,2.76,4.06,0.06,2.7,1.77,2.17,2.55,1.24,1.83,1.34,2.86,3.28,2.3,2.58,2.75
May,,3,1.2,2.61,4.46,4.83,2.87,1.07,2.27,2.87,2.58,3.2,4.54,2.29,1.08,1.1,0.55,3.87,2.21,1.63,0.78,2.96,4.32,4.46,1.09,2.33,3.72,1.48,3.21,2.43,1.59
June,,0.23,2.22,0.43,4,0.02,2.93,3.89,3.56,2.06,0.54,1.87,2.7,2.29,1.98,4.06,3.52,1.42,0.9,1.89,0.3,2.24,0.27,1.73,3.11,3.03,4.54,1.98,4.09,1.01,1.61
July,,0.6,6.28,1.43,4.52,4.25,2.51,3.48,1.76,1.81,2.94,3.94,4.4,2.84,1.43,0.93,5.26,1.36,3.88,4.78,3.19,3.58,2.04,2.84,2.47,3.86,3.05,1.26,1.47,0.77,5.49
August,,3.82,3.82,3.4,4.32,5.18,1.65,4.91,3.37,2.03,5.57,6.67,1.37,1.23,3.32,2.93,1.4,1.22,1.51,2.16,0.13,6.22,4.25,2.65,1.73,2.03,5.75,0.57,5.32,1.7,4.71
September,,1.23,2.46,2,6.37,4.31,1.41,7.48,1.19,0.43,4.31,2.62,4.51,4.06,3.42,5.99,3.18,2.55,2,1.05,1.88,0.18,2.78,1.77,2.95,2.51,5.68,1.61,3.19,2.01,4.21
October,,1.12,1.38,7.72,5.18,6.07,3.05,3.25,8.84,5.39,2.7,0.73,7.29,2.45,2.25,6.38,1.78,4.43,4.72,6.59,5.74,1.28,3.9,3.95,5.63,4.74,1.16,1.55,2.69,8.79,0.64
November,,3.01,2.85,2.25,3.79,3.71,8.68,4.72,4.41,10.78,7.09,5.42,2.3,0.84,3.95,10.06,4.9,3.08,6.86,8.06,9.77,4.11,2.1,2.9,6.61,1.1,7.66,1.85,2.07,4.73,7.8
December,,3.04,6.15,4.49,6.95,4.58,0.41,6.3,4.15,9.83,4.65,0.83,1.45,0.83,12.77,5.84,4.57,4.68,5.25,3.1,2.55,2.99,5.48,2.9,3.86,5.29,4.81,3.46,6.72,2.21,2.46
Total,,24.36,46.1,41.3,50.53,48.81,38.29,52.75,45.96,39.51,42.77,36.56,39.39,32.42,40.75,49.1,41.31,48.49,33.69,43.13,38.35,38.17,36.19,35.23,33.5,32.44,48.35,31.66,42.05,31.45,42.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at Stoner Hill (the big house),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But talk of a shed suggests it was at the farm which is where the MIDAS NGR is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no 732 until 1933 when river basin changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec8 Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
