"ATHERSTONE",,,,,,,,,,,,
Grid ref,SP309981,Long,-1.545424,Lat,52.579840,,,,,,,
Station no,RR1552,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,1.08,0.85,1.93,2.97,1.10,,,,,,
February,5.39,1.60,1.55,0.93,3.37,0.75,,,,,,
March,0.66,1.61,1.86,3.61,1.61,3.10,,,,,,
April,1.02,1.63,2.48,1.62,1.09,1.82,,,,,,
May,1.50,0.95,2.24,2.65,1.83,0.32,,,,,,
June,2.72,1.94,2.16,1.23,0.38,2.47,,,,,,
July,1.87,3.41,1.23,1.58,2.48,1.11,,,,,,
August,3.72,1.51,4.55,4.04,2.76,3.90,,,,,,
September,0.55,0.92,1.52,2.35,1.90,1.19,,,,,,
October,2.74,1.08,2.00,6.69,0.66,1.04,,,,,,
November,2.17,1.10,1.93,1.78,1.51,2.30,,,,,,
December,4.33,4.49,1.66,1.71,1.73,0.77,,,,,,
Total,30.44,21.32,24.03,30.12,22.29,19.87,,,,,,
Calc annual,30.44,21.32,24.03,30.12,22.29,19.87,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
