ATHERSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP309981,Long,-1.545424,Lat,52.57984,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.33,0.62,2.23,2.71,2.52,1.74,3.78,4.22,1.01,0.88,3.09,1.97,1.29,1.58,1.2,3.12,1.13,1.85,0.92,2.94,3.77,1.08,0.85,1.93,2.97,1.1,,,,
February,2.48,3.14,2.27,2.93,1.14,2.68,1.07,0.48,0.75,1.78,0.7,0.12,1.01,2.38,2.23,0.13,0.45,2.82,1.43,1.98,5.39,1.6,1.55,0.93,3.37,0.75,,,,
March,1.16,2.24,1.77,1.18,2.13,1.36,2.42,1.49,2.22,4.14,1.59,1.23,0.71,0.33,0.81,2,1.89,2.54,1.13,1.1,0.66,1.61,1.86,3.61,1.61,3.1,,,,
April,1.34,0.68,3.11,1.61,1.95,2.46,2.33,1.23,2.26,2.84,1.55,2.6,0.8,0.29,1.44,1.94,0.83,1.44,1.85,2.24,1.02,1.63,2.48,1.62,1.09,1.82,,,,
May,1.65,1.16,2.03,1.82,0.76,2.07,5.36,1.55,0.73,2.94,2.51,2.99,1.53,2.17,1.72,1.17,0.33,1.3,3.7,2.27,1.5,0.95,2.24,2.65,1.83,0.32,,,,
June,2.89,2.02,4.5,2.85,1.39,3.09,0.39,2.02,1.63,1.09,1.62,2.75,2.61,0.93,2.12,1.26,1.45,3.44,1.46,1.63,2.72,1.94,2.16,1.23,0.38,2.47,,,,
July,4.6,1.4,3.47,3.05,2.87,0.21,2.97,0.7,5.86,1.71,2,2.85,1.76,2.51,3.54,2.65,1.35,0.62,1.13,1.92,1.87,3.41,1.23,1.58,2.48,1.11,,,,
August,1.04,6.51,2.3,1.31,2.18,3.28,2.16,2.68,3.36,2.88,4.15,3.6,1.98,1.73,2.37,1.19,2.04,4.38,3.14,0.94,3.72,1.51,4.55,4.04,2.76,3.9,,,,
September,4.54,1.77,2.82,4.78,0.87,3.05,1.79,2.35,1,2.79,1.47,1.22,2.48,1.42,1.26,1.04,4.04,2.19,0.72,3.33,0.55,0.92,1.52,2.35,1.9,1.19,,,,
October,5.28,3.03,6.1,2.51,1.81,4.51,3.47,1.77,0.28,2.87,1.69,5.33,2.37,2.96,2.78,3.24,3.15,1.45,2.58,2.27,2.74,1.08,2,6.69,0.66,1.04,,,,
November,1.55,2.49,3.32,4.39,1.26,3.37,2.19,1.4,3.71,0.73,3.33,2.22,1.38,1.62,2.5,3.43,1.24,1.69,2.49,1.47,2.17,1.1,1.93,1.78,1.51,2.3,,,,
December,3.58,2.81,4.31,0.73,2.16,0.77,3.97,1.65,2.13,2.02,0.64,3.03,1.5,2.29,2.12,2.19,2.83,3,1.87,2.3,4.33,4.49,1.66,1.71,1.73,0.77,,,,
Total,30.44,27.87,38.23,29.87,21.04,28.59,31.9,21.54,24.94,26.67,24.34,29.91,19.42,20.21,24.09,23.36,20.73,26.72,22.42,24.39,30.44,21.32,24.03,30.12,22.29,19.87,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-051.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-061.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-153.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
