"HUNTINGDON, BOSWORTH HOUSE",,,,,,,,,,,,
Grid ref,TL241706,Long,-0.180704,Lat,52.319481,,,,,,,
Station no,RR4309,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.73,1.35,0.97,2.24,0.77,0.74,0.89,,
February,,,,0.53,1.95,0.79,1.11,0.64,1.02,0.39,,
March,,,,2.21,1.10,1.55,1.55,0.57,1.84,2.78,,
April,,,,1.28,0.62,1.33,0.44,2.05,2.40,1.38,,
May,,,,2.10,1.50,1.11,1.30,3.16,1.45,1.07,,
June,,,,3.00,0.52,2.76,3.21,1.10,1.03,4.66,,
July,,,,2.76,1.33,0.84,0.68,1.80,2.87,3.29,,
August,,,,2.78,1.25,2.68,0.83,1.24,2.91,2.08,,
September,,,,2.23,1.50,1.58,0.68,0.58,2.13,2.79,,
October,,,,4.99,1.00,1.05,2.62,2.73,1.25,3.42,,
November,,,,1.78,1.20,1.48,3.07,1.74,0.80,0.48,,
December,,,,1.04,1.26,0.68,1.80,2.04,1.38,3.00,,
Total,,,,26.43,14.58,16.82,19.53,18.42,19.82,26.23,,
Calc annual,0.00,0.00,0.00,26.43,14.58,16.82,19.53,18.42,19.82,26.23,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
