PENSTOCK,,,,,,,,,,,,
Grid ref,SH702663,Long,-3.943624,Lat,53.177924,,,,,,,
Station no,4353/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.24,10.94,2.84,6.74,5.85,6.42,11.18,9.48,11.17,11.76,,
February,7.88,4.09,2.92,6.77,3.74,1.07,8.28,13.05,1.37,11.80,,
March,9.43,3.59,3.67,6.14,3.31,4.48,5.19,2.14,3.27,1.85,,
April,5.27,3.84,5.94,0.93,3.28,2.70,0.74,1.84,7.80,4.52,,
May,3.18,2.89,3.53,7.09,8.21,1.63,4.16,6.65,1.55,2.28,,
June,2.75,3.91,2.88,4.87,5.40,3.69,1.63,4.22,2.57,3.14,,
July,2.96,2.08,5.23,6.86,1.32,10.11,8.17,6.55,3.10,6.41,,
August,8.85,5.11,5.00,6.73,1.47,12.46,11.33,3.84,1.10,4.83,,
September,9.57,9.12,8.19,8.99,4.87,5.31,11.97,9.13,0.70,6.09,,
October,2.38,11.09,3.35,13.45,5.84,5.43,7.55,5.35,9.48,4.68,,
November,11.27,5.22,9.69,15.60,3.28,3.72,4.28,3.17,10.48,19.06,,
December,15.57,7.62,3.54,7.51,7.50,8.65,7.61,5.18,14.77,10.22,,
Total,85.35,69.50,56.78,91.68,54.07,65.67,82.09,70.60,67.36,86.64,,
Calc annual,85.35,69.50,56.78,91.68,54.07,65.67,82.09,70.60,67.36,86.64,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
