BOLTON HEATON RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD687096,Long,-2.474238,Lat,53.582049,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.5,4,0.7,2.8,4.6,2.6,2.8,4.6,4.1,2.9,2.5,3.6,1.6,5.4,5.1,4.4,4.5,2.5,5.6,4,1.8,1.5,1.1,3.5,6.2,3.9,2.6,5.4,2,1.9,1.6,4.4,2,3.8,1.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.8,1.3,2.9,1.7,1.4,3.1,3.6,4.7,3.3,2.8,4.8,1.3,3.3,3.3,1.5,1.6,1,4.1,6.5,1.2,3.8,2.6,6.4,2.4,2.5,3.2,3.6,1,1.2,1,2.6,0.5,0.2,3.1,4.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.5,3.2,5.2,3.8,1.9,2.5,2.3,2.6,1.7,6.1,1.4,3.2,1.6,5.4,3.9,3.9,1,3.4,3.3,2,1.9,2.1,4.2,3.4,1.1,2.3,2,3.1,1.8,3,1.9,3.5,1.4,0.9,1.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.8,1.6,2.7,3.8,1.8,2.2,1.8,0.8,5.3,2.2,2.9,2.4,3.8,2.8,0.9,1.3,0.9,2.8,2.2,2.1,2.2,2,1.5,5,2,1.1,1.8,1.8,1.2,2,2.4,1.3,1.6,1.6,0.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.3,3.7,1.4,4.7,3.2,3,4,2.1,2.3,1.7,3.3,1.6,2.2,2.8,2.7,1.6,2.2,1,3.6,3.8,1.9,2.3,3.8,2.1,0.8,1.8,1.9,4.4,2.4,0.6,3.6,2.2,2.8,3.3,1.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.1,7.5,2.6,4.1,5.2,3.9,0.9,4.8,1.5,0.8,2.1,3.2,3.4,6.4,2.6,0.9,4,3.6,2.5,3.1,5.3,3.3,2.3,6.3,4.2,0.7,4.7,2.8,1,2.4,0.6,3.1,2.4,3.9,1.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.7,1.9,4.7,3.8,2.3,2,2.4,5.1,7.1,0.9,1.3,1.3,5.6,5.5,5.7,4.1,6,2.6,7.6,1.7,6.2,4.7,5.3,5.5,3.6,4.7,2,3.9,1.2,7.4,3.6,3.4,2.7,3.3,3.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.1,6.7,3.5,4.2,5.8,3.2,6.4,5.4,1.5,4.4,3.6,2.5,1.9,3.8,6.2,6.4,2.9,5.1,5.4,6.1,7,2.6,5.6,4.3,3.3,1.4,1.8,2.3,1.6,4.1,7,5,7.1,4.3,3.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.7,3.2,6.4,5.1,7.1,4.9,0.6,9.3,4.2,2.3,8.7,3.3,5.3,8.5,3.1,4.5,5.3,4.9,3.1,5.5,2.8,6,2.3,2.1,6.9,4.4,5.6,4.2,4.8,1.6,4.3,1.8,3.7,4.3,5.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.8,5.1,1.9,6.1,6.4,2.9,5.7,3.4,5.8,7,5.1,11.1,6.2,6.5,5.8,6.2,6.4,3.4,5.3,5.1,3.1,2.6,3.7,4.2,5.7,2.2,6.3,5.7,2.2,2,3.1,3.6,4.4,6.9,3.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
