"BOLTON, HEATON",,,,,,,,,,,,
Grid ref,SD690096,Long,-2.469707,Lat,53.582067,,,,,,,
Station no,2047,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.64,,,
February,,,,,,,,,4.30,,,
March,,,,,,,,,3.33,,,
April,,,,,,,,,2.50,,,
May,,,,,,,,,3.00,,,
June,,,,,,,,,2.39,,,
July,,,,,,,,,5.11,,,
August,,,,,,,,,3.70,,,
September,,,,,,,,,4.63,,,
October,,,,,,,,,2.07,,,
November,,,,,,,,,3.58,,,
December,,,,,,,,,2.96,,,
Total,,,,,,,,,41.21,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.21,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
