"BARDNEY RAILWAY STATION",,,,,,,,,,,,
Grid ref,TF113690,Long,-0.335020,Lat,53.206426,,,,,,,
Station no,RR2133,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.62,0.61,1.30,1.28,1.34,0.46,2.19,0.84,2.67,0.91,,
February,2.61,1.18,1.12,0.32,2.35,0.34,1.59,1.00,1.05,0.44,,
March,0.31,1.38,1.42,2.75,1.13,1.40,1.28,1.09,1.63,1.79,,
April,1.34,1.15,1.53,0.74,0.77,1.11,0.56,1.05,1.31,2.01,,
May,1.34,1.01,2.44,2.12,0.88,0.64,1.04,2.51,1.70,0.54,,
June,2.63,0.93,2.88,0.81,0.76,0.83,1.88,1.84,1.54,2.31,,
July,1.08,2.70,1.09,2.57,2.63,0.75,0.98,1.34,2.33,3.60,,
August,3.50,1.57,2.96,4.34,2.92,2.81,1.54,1.52,1.35,3.61,,
September,0.84,0.91,0.56,3.25,3.01,1.70,0.64,0.46,1.83,1.50,,
October,1.74,2.17,1.79,4.55,0.93,1.49,4.21,4.07,0.93,1.98,,
November,1.66,2.01,0.87,1.40,0.51,2.07,2.02,1.67,1.07,0.31,,
December,3.09,3.23,1.47,0.83,1.34,0.69,1.35,1.77,1.06,3.24,,
Total,22.76,18.85,19.43,24.96,18.57,14.29,19.28,19.16,18.47,22.24,,
Calc annual,22.76,18.85,19.43,24.96,18.57,14.29,19.28,19.16,18.47,22.24,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
