BARDNEY RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF114690,Long,-0.334,Lat,53.206,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923
January,1.85,0.66,0.45,1.11,1.27,2.28,0.99,1.23,0.82,2.02,2.62,0.61,1.30,1.28,1.34,0.46,2.19,0.84,2.67,0.91,1.34,1.21,1.92,1.77,0.96,2.01,0.58,1.91,0.96,3.14,1.16,1.72,2.16,1.55
February,0.69,0.44,0.92,1.92,0.86,0.23,0.44,1.80,0.46,0.86,2.61,1.18,1.12,0.32,2.35,0.34,1.59,1.00,1.05,0.44,1.89,0.85,0.99,0.63,0.64,1.93,2.77,0.60,1.16,1.96,1.41,0.38,2.27,3.00
March,1.04,0.72,0.41,0.32,0.43,1.50,1.74,1.69,0.95,0.50,0.31,1.38,1.42,2.75,1.13,1.40,1.28,1.09,1.63,1.79,0.59,1.48,2.18,2.07,1.69,0.76,2.18,1.23,0.59,1.69,2.12,0.48,1.38,1.66
April,0.25,1.34,1.15,0.13,1.87,1.47,0.67,0.95,1.81,1.56,1.34,1.15,1.53,0.74,0.77,1.11,0.56,1.05,1.31,2.01,1.27,0.84,0.16,1.55,0.88,0.36,1.28,1.26,0.94,1.65,3.70,0.92,1.59,0.80
May,1.60,2.32,1.71,0.88,1.10,0.83,0.55,0.97,1.46,2.06,1.34,1.01,2.44,2.12,0.88,0.64,1.04,2.51,1.70,0.54,1.74,1.90,2.19,1.87,1.58,1.56,2.92,1.15,2.02,1.00,1.63,1.33,0.46,1.69
June,1.05,2.80,3.72,1.63,2.76,1.18,2.00,1.51,1.85,1.48,2.63,0.93,2.88,0.81,0.76,0.83,1.88,1.84,1.54,2.31,4.17,2.84,4.18,1.06,1.52,1.11,1.50,1.16,0.77,1.05,1.57,1.54,0.91,0.45
July,1.93,2.20,2.17,2.53,2.24,4.31,1.70,0.81,0.43,1.09,1.08,2.70,1.09,2.57,2.63,0.75,0.98,1.34,2.33,3.60,2.63,0.49,3.25,0.37,2.84,3.62,1.12,0.83,2.30,3.61,1.66,0.24,4.26,2.77
August,1.27,2.55,1.13,0.52,1.85,2.45,1.02,1.94,1.99,0.37,3.50,1.57,2.96,4.34,2.92,2.81,1.54,1.52,1.35,3.61,2.70,1.60,4.84,0.68,0.95,3.30,2.82,4.16,1.32,2.52,1.22,2.61,1.73,2.48
September,0.52,1.12,1.51,0.78,0.74,0.47,3.27,2.08,0.33,1.53,0.84,0.91,0.56,3.25,3.01,1.70,0.64,0.46,1.83,1.50,0.26,1.60,1.11,2.76,0.68,0.75,1.00,0.89,2.98,2.05,1.55,0.70,2.17,2.33
October,0.69,3.38,3.97,1.08,2.39,1.84,2.13,0.59,1.74,2.41,1.74,2.17,1.79,4.55,0.93,1.49,4.21,4.07,0.93,1.98,1.72,1.94,2.09,4.37,1.83,0.97,1.30,2.45,1.16,2.13,1.14,1.54,0.88,1.64
November,1.95,2.10,1.02,1.59,1.83,2.01,0.95,1.01,1.15,1.00,1.66,2.01,0.87,1.40,0.51,2.07,2.02,1.67,1.07,0.31,2.35,1.84,2.41,1.81,1.88,2.06,1.97,1.22,1.83,1.90,0.42,1.48,0.96,2.15
December,0.45,2.33,0.53,1.49,1.72,1.55,2.82,2.02,1.69,1.64,3.09,3.23,1.47,0.83,1.34,0.69,1.35,1.77,1.06,3.24,2.43,3.44,2.43,0.34,3.90,4.16,2.24,0.85,2.49,3.10,2.41,1.37,2.57,2.02
Total,13.29,21.96,18.69,13.98,19.06,20.12,18.28,16.60,14.68,16.52,22.76,18.85,19.43,24.96,18.57,14.29,19.28,19.16,18.47,22.24,23.09,20.03,27.75,19.28,19.35,22.59,21.68,17.71,18.52,25.80,19.99,14.31,21.34,22.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
