SALTBURN BY THE SEA,,,,,,,,,,
Grid ref,NZ663217,Long,-0.976,Lat,54.586,Elevation,200,ft,,
Station no,RR4583,,,,,,,,,
,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,0.33,1.71,0.75,0.66,0.73,1.23,0.88,1.65,2.80,1.34
February,0.59,0.79,0.51,1.10,1.12,2.07,0.95,0.84,0.52,1.42
March,0.97,0.63,0.54,1.48,2.95,0.37,1.20,1.85,1.98,1.58
April,1.39,0.46,1.45,1.34,1.82,1.47,0.64,0.09,2.13,0.23
May,0.58,2.64,3.00,1.68,1.28,1.75,0.49,1.86,2.02,1.36
June,1.28,0.79,2.79,0.76,2.69,1.86,3.48,3.64,2.79,1.91
July,1.14,0.60,2.34,1.05,2.05,2.25,0.76,4.46,0.72,5.37
August,2.10,2.60,2.25,1.78,3.75,2.30,2.68,2.79,0.91,1.05
September,2.03,0.48,0.06,1.46,1.53,0.53,1.53,1.46,1.11,2.17
October,2.40,3.85,3.85,0.73,1.94,2.81,1.63,3.42,2.89,1.13
November,3.43,1.87,1.79,1.46,1.08,1.57,1.88,1.52,1.16,3.51
December,0.19,1.52,2.27,1.00,3.26,1.35,2.87,0.88,1.35,3.49
Total,16.43,17.94,21.60,14.50,24.20,19.56,18.99,24.46,20.38,24.56
,,,,,,,,,,
TYRain_1900-1909_22_pt1/055,,,,,,,,,,
TYRain_1910-1919_21_pt1/056,,,,,,,,,,
,,,,,,,,,,
"# The rain gauge is marked on the 1892-1914 OS 25 inch map, on the north side of Marine Parade on the cliff tops.",,,,,,,,,,
# The altitude given on the sheets seems high.,,,,,,,,,,
#,,,,,,,,,,
# The total for 1905 has been adjusted by 0.01 inches to match the sum of the monthly readings.,,,,,,,,,,
