"SALTBURN-BY-THE-SEA",,,,,,,,,,,,
Grid ref,NZ662216,Long,-0.977182,Lat,54.585273,,,,,,,
Station no,RR4583,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.33,1.71,0.75,0.66,0.73,,
February,,,,,,0.59,0.79,0.51,1.10,1.12,,
March,,,,,,0.97,0.63,0.54,1.48,2.95,,
April,,,,,,1.39,0.46,1.45,1.34,1.82,,
May,,,,,,0.58,2.64,3.00,1.68,1.28,,
June,,,,,,1.28,0.79,2.79,0.76,2.69,,
July,,,,,,1.14,0.60,2.34,1.05,2.05,,
August,,,,,,2.10,2.60,2.25,1.78,3.75,,
September,,,,,,2.03,0.48,0.06,1.46,1.53,,
October,,,,,,2.40,3.85,3.85,0.73,1.94,,
November,,,,,,3.43,1.87,1.79,1.46,1.08,,
December,,,,,,0.19,1.52,2.27,1.00,3.26,,
Total,,,,,,16.42,17.94,21.60,14.50,24.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.43,17.94,21.60,14.50,24.20,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.01,0.00,0.00,0.00,-0.00,,
