"QUARTER HILL, EDINBURGH W.W. NO. 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT098235,Long,-3.429334,Lat,55.496931,Elevation,1196,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.49,1.74,2.82,5.4,5.46,2.38,3.87,6.82,5,2.53,7,1.77,4.16,4.62,3.53,3.32,4.44,5.33,3.85,2.91,8.27,2.2,4.73,3.98,6.2,8.33,4.23,4.45,5.1,6.27,8.65,6.87,11.65,1.25,7.3,4.1,13.12,8.9,9.78,2.9,5.4,9,8.2,6.91,2,2.67,4.5,6.99,6.92,4.05,6.8,6.58,8.03,5.24,3,5.84,5.84,1.6,4.85,3.8,3.33,8,6.9,3.6,6.8
February,,,,,,,3.03,3.9,3.4,4.2,2.77,2.11,0.9,7.33,3.43,2.29,2.77,3.08,2.9,2.2,7.98,5.91,4.03,3.51,7.77,7.7,4.61,0.75,6.73,0.52,4.8,0.83,4,6.35,0.97,5.3,4.58,2.18,4.7,1.25,0.35,3.65,0.59,5.5,0.32,6.18,3.1,3.2,3.75,8.02,1.45,5.39,2,5.23,2.4,6.43,3.18,2.34,4.12,5.4,5.82,4.43,1.46,1.82,5.84,2.2,1.88,5.5,4.5,1.3,7
March,,,,,,,5.2,6.43,1.55,4.02,0.28,1.8,2.75,12.35,3.17,6.56,2.44,4.13,5.74,4.04,5.84,1.77,5.26,5.76,5.68,1.39,2.01,1.8,1.37,3.15,7,7.72,2.75,2.05,0.42,1.82,2.3,4.02,6.65,0.82,3.03,0.85,4.32,3.8,4.88,2.1,3.08,1.7,3.42,5.02,4.75,2.7,2.48,1.33,0.75,3.38,3.08,5.71,4.29,1.74,5.87,3.28,2.38,0.63,4.85,2.7,2.5,3.8,2,3.3,2.2
April,,,,,,,1.97,3.36,4.57,4.33,3.8,4.33,3.6,1.24,5.02,3.29,2.05,3,1.67,3.45,4.53,5.44,1.02,6.84,3.18,2.99,4.24,1.13,0.76,5.34,3.18,1.33,3.57,3.97,2.92,5.3,2.92,3.45,1.62,1.5,2.1,4.95,5.26,2.2,4.05,4.65,1.22,2.63,0.58,2.21,3.14,1.62,3.72,3.11,2.54,1.54,1.3,10.28,3.45,5.19,5.1,2.96,3.98,3.25,1.05,2,1,3.1,2,4.6,5.6
May,,,,,,,0.75,2.54,2.81,2.93,4.76,1.8,2.32,2.77,3.41,2.32,5.5,4.95,3.28,2.84,2.06,4.56,1.37,4.48,2.4,1.11,4.05,2.43,2.94,1.04,6.32,2.53,3.21,3.29,4.1,6.95,3.9,2.7,1.72,4.3,2.02,3.25,3.22,2.05,4.6,0.97,0.65,1.88,5.19,0.67,1.08,4.88,3.58,5.13,2.27,5.45,0.9,3.72,2.09,2.1,2.03,2.58,1.79,4.5,6.05,3.9,2.7,2.5,3.3,3.5,3.2
June,,,,,,,4.24,5,2.8,1.58,4.15,3.56,1.27,1.93,3.47,2.34,2.24,4.53,2.95,2.7,1.82,3.44,5.02,3.28,1.64,2.17,3.24,2.56,1.91,2.95,1.84,0.77,2.41,1.7,1.9,0.48,5,4.95,4.8,2.4,2.79,5.97,1.65,1.85,1.8,4.4,3.38,2.43,7.53,2.32,1.47,2.02,0.94,4.14,3.67,4.3,3.8,4.01,5.3,1.26,2.93,1.94,2.78,2.63,3,2,3.3,2.2,4,3.4,2.9
July,,,,,,,4.8,3.55,1.72,3.23,3.25,1.22,2.59,3.96,3.43,3.16,3.25,3.55,2.41,5.49,5.4,1.9,3.06,0.98,2.66,5.27,6.03,1.7,3.06,1.08,4.35,4.13,5.7,4.45,4.42,1.98,3.47,3.55,3.48,3.65,6.62,5.1,6.95,4.65,2.68,1.85,5.08,4.62,4.95,4.38,5.1,4.89,3.56,2.72,2.43,3.52,5,3.22,3.27,1.78,5.13,3.65,3,7.56,4.04,2.2,4,3.2,5.1,6,3.3
August,,,,,,,2.7,7.32,5.13,2.4,4.42,5.26,2.4,6.4,4.7,4.25,7.14,6.09,4.53,2.88,6.7,2.72,4.07,1.83,3.31,2.93,4.52,7.45,3.12,2.83,5.21,5.72,3.2,7.95,4.5,4.62,4.2,6.1,7.8,6.65,7.75,3.35,1.15,2.62,4.77,2.4,2.03,3.9,2.32,2.38,2.32,5.88,4.5,5.18,3.11,1.93,4.55,0.05,6.77,4.07,5.73,6.28,4.6,4.55,5.5,1.7,8.2,4.7,5,1,4
September,,,,,,,5.25,3.7,4.35,5.55,3.93,3.91,3.02,3.58,3.03,2.67,1.19,1.05,5.78,2.91,1.2,1.95,3.1,2.36,2.14,1.58,2.64,4.43,7.13,3.7,2.93,2.3,2.71,7.25,4.5,3.82,4.2,6.8,4.38,0.85,3.1,1.36,5,1.65,6.88,5.1,3.77,3.21,4.12,2.2,5.53,1.93,4.96,4.27,4.74,7.3,7.18,3,5.53,2.08,10.23,4.89,2.43,5.1,6.53,4.6,4.3,2.5,4.9,1.5,3.2
October,,,,,,,5.11,3.13,6,4.03,6.07,4.63,3.05,11.66,2.43,3.73,6.36,8.5,1.67,9.62,3.92,4.02,4,4.29,2.06,1.98,8.35,6.84,7.1,2.46,2.81,3.7,3.42,7.4,3.47,5.32,4.1,6.94,8.85,6.45,8.22,4.25,8.4,4.45,8.5,8.8,5.93,5.2,10.06,3.92,5.19,3.67,6.15,9.22,4.62,5.2,0.93,1.07,3.48,8.3,4.73,0.63,6,3.52,9.4,3.6,4,4.3,3.4,6,2.7
