"QUARTER HILL EDINBURGH WW NO. 7",,,,,,,,,,,,
Grid ref,NT098235,Long,-3.429334,Lat,55.496931,,,,,,,
Station no,5072,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.46,2.38,3.87,6.82,5.00,2.53,7.00,1.77,4.16,4.62,,
February,2.77,2.11,0.90,7.33,3.43,2.29,2.77,3.08,2.90,2.20,,
March,0.28,1.80,2.75,12.35,3.17,6.56,2.44,4.13,5.74,4.04,,
April,3.80,4.33,3.60,1.24,5.02,3.29,2.05,3.00,1.67,3.45,,
May,4.76,1.80,2.32,2.77,3.41,2.32,5.50,4.95,3.28,2.84,,
June,4.15,3.56,1.27,1.93,3.47,2.34,2.24,4.53,2.95,2.70,,
July,3.25,1.22,2.59,3.96,3.43,3.16,3.25,3.55,2.41,5.49,,
August,4.42,5.26,2.40,6.40,4.70,4.25,7.14,6.09,4.53,2.88,,
September,3.93,3.91,3.02,3.58,3.03,2.67,1.19,1.05,5.78,2.91,,
October,6.07,4.63,3.05,11.66,2.43,3.73,6.36,8.50,1.67,9.62,,
November,4.75,2.95,4.34,3.57,2.23,5.50,4.78,3.59,3.82,2.40,,
December,8.23,2.67,6.24,4.00,3.72,3.87,3.03,4.82,2.64,4.75,,
Total,51.87,36.62,36.35,65.61,43.04,42.51,47.75,49.06,41.55,47.90,,
Calc annual,51.87,36.62,36.35,65.61,43.04,42.51,47.75,49.06,41.55,47.90,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
