"QUARTER HILL EDINBURGH WW NO 7",,,,,,,,,,,,
Grid ref,NT098235,Long,-3.429334,Lat,55.496931,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.60,2.73,4.21,6.15,5.16,2.58,7.09,1.90,4.27,4.68,,
February,2.77,1.82,0.94,7.79,3.10,2.50,3.00,3.29,3.12,2.26,,
March,0.34,2.36,2.45,13.43,2.88,6.62,2.63,4.44,5.92,4.27,,
April,3.78,5.03,3.60,1.16,5.44,3.39,2.06,2.85,1.68,3.37,,
May,5.11,1.98,2.35,3.01,3.33,2.56,5.86,4.99,3.29,2.79,,
June,4.70,3.83,1.16,1.46,3.61,2.33,2.39,4.85,2.90,2.66,,
July,2.89,1.37,2.59,4.50,3.77,3.18,3.22,3.55,2.43,5.47,,
August,5.07,6.15,2.28,6.35,4.73,4.41,7.32,6.20,4.54,2.72,,
September,4.01,4.15,3.19,3.50,3.03,2.76,1.18,1.08,5.71,2.82,,
October,5.79,4.99,3.05,12.26,2.50,3.68,6.54,8.60,1.65,9.32,,
November,5.24,3.67,4.36,3.97,3.03,5.67,4.84,3.64,3.81,2.30,,
December,10.19,5.37,6.19,4.41,4.44,3.97,3.14,4.92,2.64,4.93,,
Total,55.49,43.45,36.37,67.99,45.02,43.65,49.27,50.31,41.96,47.59,,
Calc annual,55.49,43.45,36.37,67.99,45.02,43.65,49.27,50.31,41.96,47.59,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
