REDEWATER CHATTLEHOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT734032,Long,-2.420731,Lat,55.322143,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3580/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.78,4.72,3.15,2.45,1.16,5.25,2.47,1.75,-999,2,5.85,5.05,2.6,2.75,6.89,3.66,1.77,5.42,2.11,3.87,3.96,3.56,3.33,3.77,4.51,,,,,,,,,,,,,,,,,,,,,,,,,7.28,6.58,,3.7,4.81,6.75,4.66,,3.65,4.75,10.31,3.61,2.91,5.46,4.22,2.42,4.72,5.22,3.62,6.09,4.52,3.34,7.16
February,,,,,,,,,,1.45,1.23,0.19,2.01,3.99,7.77,1.33,1.35,-999,2.57,3.43,3.38,1.3,1.95,6.23,3.72,2.58,2.69,2.65,2.37,2.61,6.17,4.29,3.61,3.02,,,,,,,,,,,,,,,,,,,,,,,,,1.71,5.71,1.55,4.81,3.1,3.78,2.46,,,,3.87,4.78,5.79,4.13,0.64,2.82,3.62,,3.38,4.69,4.18,1.33,6.72
March,,,,,,,,,,2.5,3,2.45,1.15,2.24,4.11,4.75,4.75,6.03,1.3,2.8,0.89,3.35,1.83,6.59,3.18,6.22,3.63,3.41,6.71,4.68,2.36,3.66,5.73,7.03,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.39,5.23,3.3,2.27,2.27,0.46,1.32,,6.37,3.27,1.63,3.08,3.09,3.12,0.54,4.19,,1.39,3.34,2.59,2.46,3.09
April,,,,,,,,,,3.64,1.13,1.75,0.95,0.57,1.23,1.9,1.7,2.43,3.08,5.24,4.1,2.8,2.45,1.29,3.89,3.99,1.41,3.42,2.35,5.28,3.51,3.09,0.83,4.9,,,,,,,,,,,,,,,,,,,,,,,,,0.37,1.87,2.33,1.4,2.13,2.8,2.01,2.82,0.9,8.56,3.03,3.66,3.85,3.51,3.74,4.63,0.93,1.24,0.93,0.77,2.54,3.59,3.43
May,,,,,,,,,,2.34,2.17,2.19,3.46,2.45,4.6,1.24,1,1.65,2.62,3.48,2.65,2.15,3.34,1.92,3.44,2.19,5.93,5.86,3.62,2.27,2.07,1.66,1.62,3.78,,,,,,,,,,,,,,,,,,,,,,,,,2.71,1.34,1.84,2,3.51,5.91,3.27,4.39,1.39,2.98,2.13,1.9,1.86,2.91,2.62,2.54,6.93,3.89,1.85,2.55,5.09,0.96,2.82
June,,,,,,,,,,0.36,3.46,1.49,4.75,2.8,4.2,1.68,2.3,3.88,1.91,1.07,4.72,2.03,2.18,1.03,1.43,2.21,4.98,6.07,1.88,2.8,2.75,5.52,5.52,3.09,,,,,,,,,,,,,,,,,,,,,,,,,4.61,3.31,0.9,0.77,0.98,4.55,3.77,3.25,2.1,3.81,6.46,1.25,2.29,1.17,2.74,3.81,2.61,1.43,3.06,2.21,3.68,3.93,2.59
July,,,,,,,,,,4.41,2.67,4.44,2.4,2.96,3.1,4.27,3.1,2.4,1.23,3.68,2.39,1.6,3.83,4.36,1.81,1.38,2.46,2.64,4.53,3.15,5.48,1.44,2.46,1.11,,,,,,,,,,,,,,,,,,,,,,,,,6.76,5.11,7.37,0.99,4.02,2.8,3.11,,4.38,4.75,2.19,2.33,4.19,2.63,1.74,5.48,4.39,2.67,4.88,3.86,5.58,3.5,3.76
August,,,,,,,,,,3.75,5.67,7.26,4.85,3.14,5.25,3.85,2.05,5.2,3.45,0.97,5.5,4.1,2.61,4.91,3.08,4.47,6.54,3.89,3.26,2.99,6.87,3.36,6.35,2.23,,,,,,,,,,,,,,,,,,,,,,,,,2.31,3.7,1.72,5.11,4.11,4.82,3.08,2.12,4.29,0.19,9.12,2.73,6.4,4.46,6.69,3.98,8.33,1.15,7.96,6.55,4.21,1.06,4.96
September,,,,,,,,,,2.26,1.95,6.67,3.96,2.32,1.78,0.55,5.2,3.25,2.3,3.13,2.7,2.15,2.05,3.58,1.52,3.86,1.13,1.05,5.63,2.83,1.1,3.33,3.26,1.71,,,,,,,,,,,,,,,,,,,,,,,,,2.73,1.75,3.31,0.63,4.87,3.64,5.15,4.34,,3.06,4.93,1.77,7.69,4.78,3.72,4.79,5.71,2.79,3.09,3.73,3.75,1.15,2.89
October,,,,,,,,,,6.33,2.39,3.55,5.64,2.65,4.95,4.2,7.3,2.63,5.5,3.58,5.48,2.78,3,9.88,1.27,3.39,7.25,6.46,4.17,6.78,3.66,4.6,5.56,3.93,,,,,,,,,,,,,,,,,,,,,,,,,8.88,6.12,4,4.26,5.4,4.3,4.53,3.64,0.77,1.38,3.5,6.5,4.02,1.15,5.87,2.28,8.74,4.04,3.07,4.88,3.04,3.63,5.82
