SEDBERGH-LONG-LANE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD661920,Long,-2.5226924,Lat,54.322445,Elevation,420,ft.,,,,,,,,,,,,
Station no,RR6049,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,4.57,10.75,6.3,1.9,0.83,0.71,3.73,8.43,9.89,4.03,6.55,,,
February,,,,,,,7.99,6.35,2.87,3.04,6.15,4.88,4.9,4.64,3.69,6.07,1.4,,,
March,,,,,,,7.79,4.9,3.1,4.42,3.74,7.53,5.89,2.13,4.56,5.74,,,,
April,,,,,,,3.16,3.37,2.23,2.09,2.1,1.81,5.06,2.56,1,3.7,,,,
May,,,,,,,1.21,2.63,5.02,2.55,2.61,6.02,2.32,2.17,5.07,1.8,,,,
June,,,,,,,5.2,3.79,4.74,8.08,5.54,6.44,6.56,5.14,0.4,2.49,,,,
July,,,,,,,4.71,6.29,1.15,6.87,6.9,9.72,7.17,5.41,4.6,3.01,,,,
August,,,,,,,5.16,5.96,5.18,5.98,2.47,7.57,3.88,4.73,0.97,3.08,,,,
September,,,,,,,7.16,5.2,6.63,4.33,5.1,2.1,2.89,5.14,5.11,6.59,,,,
October,,,,,,,3.69,7.93,6.19,3.39,4.2,4.15,3.86,7.6,3.6,5.22,,,,
November,,,,,,,3.72,10.33,4.65,2.11,9.79,8.43,5.99,7.22,2.87,4.16,,,,
December,,,,,,,10.61,5.65,2.5,4.86,9.6,7.11,5.88,6.66,8.18,2.41,,,,
Total,,,,,,,64.97,73.15,50.56,49.62,59.03,66.47,58.13,61.83,49.94,48.3,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Long Lane at the stated relationship to the church. Altitudes match.,,,,,,,,,,,,,,,,,,,,
