YORK THE RETREAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE615508,Long,-1.064,Lat,53.950,Elevation,74,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3384/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.75,0.53,1.58,2.47,,,,2.02,0.52,2.79,0.81,1.18,0.65,2.07,1.37,3.46,3.15,1.54,2.72,0.73,3.05,1.68,2.68,2.58,1.85,2.92,1.95,2.41,,,,,,,,,,,,,,,,,,,,2.57,3.41,2.31,2.72,5.19,0.79,1.45,1.96,1.67,0.49,1.43,1.65,4.72,1.15,2.62,2.20,5.25
February,,1.63,0.97,0.83,2.71,,,,2.21,0.83,1.72,1.09,1.88,0.57,1.99,0.93,1.23,0.63,1.08,2.52,2.83,0.78,2.17,1.21,1.08,0.15,2.25,3.87,0.97,,,,,,,,,,,,,,,,,,,,1.89,2.00,2.07,2.11,1.23,0.71,3.73,2.55,0.38,2.18,2.45,1.74,1.80,2.61,3.96,0.27,1.70
March,,2.16,1.33,0.64,0.52,,,,1.58,1.76,1.46,1.09,2.78,3.28,0.45,1.10,2.87,2.23,1.95,1.12,2.88,1.78,1.06,3.39,1.98,0.87,1.90,1.35,1.34,,,,,,,,,,,,,,,,,,,,0.53,0.91,0.95,4.53,0.71,1.57,1.11,2.59,1.70,0.26,1.87,2.22,1.17,1.85,2.37,1.14,1.05
April,,1.80,2.33,1.52,0.82,,,,1.62,2.21,1.16,1.35,2.04,2.30,2.43,1.04,0.06,2.73,0.54,1.01,0.91,1.86,0.95,1.32,3.64,1.34,1.62,1.07,2.05,,,,,,,,,,,,,,,,,,,,2.55,1.37,1.78,1.79,1.64,2.55,2.93,0.94,0.98,2.18,0.24,1.09,2.02,0.12,0.79,2.99,0.95
May,,1.04,1.94,3.56,1.01,,,,2.70,0.79,1.43,3.34,2.05,1.52,2.62,1.29,2.97,1.94,1.35,1.49,2.21,1.19,2.49,0.82,2.29,1.49,0.97,2.49,3.31,,,,,,,,,,,,,,,,,,,,1.19,2.22,1.73,1.49,1.32,1.91,1.59,4.23,1.39,1.79,2.74,2.53,0.86,0.77,3.51,0.49,0.70
June,,2.76,1.81,1.40,1.75,,,,0.74,3.02,1.09,3.61,0.99,2.29,2.07,3.21,5.98,1.54,2.05,1.07,1.59,2.31,0.88,1.17,2.58,0.27,1.19,0.81,1.62,,,,,,,,,,,,,,,,,,,,2.57,2.73,2.17,2.73,3.75,0.56,1.20,1.02,1.97,1.53,1.96,2.48,2.75,2.17,3.82,1.86,0.62
July,,0.81,1.02,1.25,1.54,,,,1.59,1.57,1.00,1.72,2.53,2.71,2.83,1.36,4.20,0.51,4.28,3.55,2.00,1.10,2.79,3.78,5.93,0.96,5.01,2.55,3.56,,,,,,,,,,,,,,,,,,,,2.35,0.95,2.68,2.64,0.97,2.72,2.13,2.27,1.67,2.07,2.00,1.04,4.32,4.00,3.35,2.32,6.38
August,,3.90,3.02,0.87,3.39,,,,3.33,3.73,2.05,1.85,2.20,3.09,2.85,1.56,4.83,0.77,1.29,2.36,3.17,5.11,2.67,2.46,1.44,3.86,3.75,3.05,2.54,,,,,,,,,,,,,,,,,,,,3.49,2.07,4.00,0.28,3.76,1.65,4.67,6.45,1.94,2.97,7.25,0.69,6.26,4.62,2.46,0.27,2.60
September,,2.50,0.92,1.84,1.02,,,,1.13,2.32,0.49,0.85,1.83,1.56,0.21,2.52,1.63,1.30,1.04,2.07,0.95,0.58,6.62,0.92,1.21,0.67,1.89,3.03,2.46,,,,,,,,,,,,,,,,,,,,4.65,2.06,4.17,1.70,1.14,0.62,2.87,1.79,3.88,1.45,2.03,1.18,1.78,3.46,2.64,0.12,3.27
October,3.74,1.84,2.95,2.00,2.42,,,,0.70,1.34,4.70,4.49,0.72,2.29,2.01,2.44,2.81,2.42,1.88,0.84,2.67,3.06,1.22,3.80,2.01,1.90,0.89,1.99,2.58,,,,,,,,,,,,,,,,,,,,2.73,3.62,0.72,0.89,1.28,2.56,1.34,1.76,2.64,1.71,3.27,1.61,1.35,2.28,1.36,1.76,5.37
November,1.37,2.31,2.50,0.74,2.54,,,,1.67,3.44,2.72,2.84,1.52,0.33,2.61,3.17,2.25,2.08,2.74,1.51,1.98,1.74,1.58,1.85,1.04,1.84,1.33,2.33,1.92,,,,,,,,,,,,,,,,,,,,3.91,0.36,5.75,1.42,1.12,3.23,3.64,5.34,1.72,2.17,4.78,2.00,0.67,1.65,0.73,2.87,4.45
December,3.01,1.32,1.42,2.44,2.50,,,,1.50,0.23,1.67,2.89,1.55,4.53,2.16,3.83,1.95,1.17,4.47,5.00,2.00,1.00,3.88,3.64,2.29,2.03,2.77,3.10,2.18,,,,,,,,,,,,,,,,,,,,1.68,1.60,2.39,2.04,2.23,2.18,1.93,2.15,1.81,1.39,2.15,3.62,2.35,2.65,3.78,3.18,2.30
Total,,23.82,20.74,18.67,22.69,,,,20.79,21.76,22.28,25.93,21.27,25.12,24.30,23.82,34.24,20.47,24.21,25.26,23.92,23.56,27.99,27.04,28.07,17.23,26.49,27.59,26.94,,,,,,,,,,,,,,,,,,,,30.11,23.30,30.72,24.34,24.34,21.05,28.59,33.05,21.75,20.19,32.17,21.85,30.05,27.33,31.39,19.47,34.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1/113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_21_pt1/229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The Retreat was set up by the Quakers to pioneer humane treatment of mental illness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
