"GOOLE SWINFLEET",,,,,,,,,,,,
Grid ref,SE771224,Long,-0.833870,Lat,53.692365,,,,,,,
Station no,RR1980,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.09,1.04,0.72,,
February,,,,,,,,1.33,1.34,0.58,,
March,,,,,,,,1.17,2.52,2.79,,
April,,,,,,,,1.63,2.25,2.15,,
May,,,,,,,,3.61,1.98,1.22,,
June,,,,,,,,2.97,1.08,2.84,,
July,,,,,,,,2.13,3.31,3.10,,
August,,,,,,,,1.77,2.06,4.26,,
September,,,,,,,,0.79,1.40,1.72,,
October,,,,,,,,4.84,1.02,2.19,,
November,,,,,,,,2.59,1.17,0.41,,
December,,,,,,,,2.48,1.51,4.22,,
Total,,,,,,,,26.40,20.68,26.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.40,20.68,26.20,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
