GOOLE SWINFLEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE768221,Long,-0.838486,Lat,53.689713,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.09,1.04,0.72,1.72,1.18,3.7,3.21,1.33,3.16,0.63,3.44,,3.85,,,,,,,,,,,
February,,,,,,,,1.33,1.34,0.58,2.05,1.25,1.47,0.79,0.69,3.12,3.7,0.96,,2.07,1.09,,,,,,,,,,
March,,,,,,,,1.17,2.52,2.79,0.91,1.27,2.77,2.34,2.54,0.83,3.48,1.46,,3.62,,,,,,,,,,,
April,,,,,,,,1.63,2.25,2.15,2.37,1.04,0,2.55,0.47,0.87,2.12,1.62,,1.65,,,,,,,,,,,
May,,,,,,,,3.61,1.98,1.22,2.11,0.83,2.55,2.29,1.67,1.23,2.73,1.15,,1.19,,,,,,,,,,,
June,,,,,,,,2.97,1.08,2.84,2.88,4.13,5.3,1.26,2.6,0.37,2.05,1.74,,1.28,,,,,,,,,,,
July,,,,,,,,2.13,3.31,3.1,4.51,0.84,4.84,0.22,4.04,5.06,2.59,1.69,,2.77,,,,,,,,,,,
August,,,,,,,,1.77,2.06,4.26,3.97,2.43,4.65,1.02,4.13,3.04,3.53,5.06,,2.36,,,,,,,,,,,
September,,,,,,,,0.79,1.4,1.72,0.5,2.99,2.19,2.4,0.92,0.99,1.26,0.9,,1.78,,,,,,,,,,,
October,,,,,,,,4.84,1.02,2.19,3.25,2.18,3.27,2.29,1.96,1.39,2.93,3.99,,4.15,,,,,,,,,,,
November,,,,,,,,2.59,1.17,0.41,3.76,2.87,3.3,2.23,2.02,2.18,2.54,1.24,,1.84,,,,,,,,,,,
December,,,,,,,,2.48,1.51,4.22,2.73,4.66,2.12,1.5,5.3,5.89,2.41,1.23,,4.62,,,,,,,,,,,
Total,,,,,,,,26.4,20.68,26.2,30.76,25.67,36.16,22.1,27.67,28.13,29.97,24.48,,31.18,,,,,,,,,,,
