GOOLE SWINFLEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE768221,Long,-0.838486,Lat,53.689713,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.49,1.35,1.81,0.87,1.1,0.87,1.65,3.29,0.62,1.65,0.59,1.9,2.9,1.13,1.42,1.49,2.01,0.47,3.05,0.69,1.14,0.82,1.75,,,,,,,,,
February,,,,,,,,,0.66,0.96,0.77,0.12,1.84,2.38,3.18,0.36,0.83,2.59,0.68,1.41,3.68,1.3,1.37,1.47,3.23,0.7,1.78,1.05,1.72,0.66,1.79,,,,,,,,,
March,,,,,,,,,2.03,2.56,2.03,0.84,0.63,0.48,0.93,2.31,2.32,3.05,1.61,1.05,0.67,1.78,1.71,2.51,1.9,2.31,0.99,1.22,3.18,2.66,0.8,,,,,,,,,
April,,,,,,,,,1.87,1.89,0.94,1.33,1.19,0.38,1.63,1.78,0.94,1.97,3.67,2.17,1.31,1.43,2.32,1.31,1.7,2.09,0.5,1.72,2.56,2.43,1.87,,,,,,,,,
May,,,,,,,,,0.3,4.64,2.55,2.86,3.16,1.84,1.26,0.7,1.07,1.4,1.99,4.02,1.61,1.23,2.12,3.7,2.42,0.43,1.16,3.05,1.96,1.35,1.78,,,,,,,,,
June,,,,,,,,,1.41,0.43,2.33,1.36,4.71,1.63,3.26,2.99,2.29,2.03,1.47,1.65,2.52,1.76,2.67,1.83,0.96,1.96,1.68,3.6,1.06,2.52,3.08,,,,,,,,,
July,,,,,,,,,5.9,1.43,1.74,3.72,2.29,3,4.02,7.22,1.58,0.22,0.53,2.56,2.06,2.07,1.53,2.98,2.39,2.44,0.63,2.31,3.29,2.86,4.11,,,,,,,,,
August,,,,,,,,,2.36,2.92,3.71,3.57,2.38,1.77,3.29,1.53,1.43,3.88,4.01,0.88,4.58,1.43,2.39,3.24,3.52,3.2,1.99,1.94,1.55,4.29,3.27,,,,,,,,,
September,,,,,,,,,1.53,1.47,1.35,1.52,1.33,1.53,0.63,1.63,5.01,3,1.57,2.5,1.1,1.26,0.81,3.77,2.03,1.64,0.73,0.86,1.85,1.99,0.14,,,,,,,,,
October,,,,,,,,,1.34,3.37,1.16,3.61,5.55,1.97,4.3,3.36,4.65,1.24,3.17,2.99,3.32,2.18,3,6.55,0.56,1.97,4.61,5.18,0.84,2.11,3.24,,,,,,,,,
November,,,,,,,,,3.33,0.49,3.44,3.08,1.61,1.93,1.55,2.78,1.85,2.63,2.04,1.31,3.33,3.4,1.48,1.17,1.18,3.35,2.41,2.96,1.3,0.74,2.15,,,,,,,,,
December,,,,,,,,,1.78,0.99,0.54,3.55,0.81,3.34,1.91,2.47,3.39,2.37,2.13,2.77,3.24,5.24,2.34,0.83,1.59,0.7,1.39,3,1.47,4.84,3.03,,,,,,,,,
Total,,,,,,,,,23,22.5,22.37,26.43,26.6,21.12,27.61,30.42,25.98,26.03,23.46,25.21,30.32,24.21,23.16,30.85,23.49,21.26,20.92,27.58,21.92,27.27,27.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record notes Swinfleet St Marys 1/4mile east andGoole station 3 mileswest; used for NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
