BIGNOR,,,,,,,,,,,
Grid ref,SU982142,Long,-0.60318,Lat,50.91949,Elevation,150,ft,,,
Station no,451,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,5.58,5.41,3.21,7.78,1.2,4.84
February,,,,,,5.94,3.87,4.84,2.46,1.81,1.79
March,,,,,,0.46,0.43,3.78,3.21,0.13,1.71
April,,,,,,4.08,3.23,2.94,2.76,0.83,2.97
May,,,,,,5.73,3.58,2.8,1.39,3.41,2.37
June,,,,,,0.13,3.16,4.07,2.99,2.17,0.93
July,,,,,,4.53,1.9,4.35,2.04,2.25,
August,,,,,,4.69,2.18,5.42,2.7,3.08,
September,,,,,,3.34,0.89,7.31,0.96,0.23,
October,,,,,5.64,4.52,3.46,4.14,9.37,5.83,
November,,,,,2.98,4.81,8.49,4.45,4.35,9,
December,,,,,6.41,5.22,0.4,4.36,4.86,8.99,
Total,,,,,,49.03,37,51.67,44.87,38.93,
,,,,,,,,,,,
,,,,,,,,,,,
