GLENLEVEN (LOCH CHIARAIN),,,,,,,,,,
Grid ref,NN291634,Long,-4.795108,Lat,56.730859,Elevation,1200,ft,,
Station no,5747,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.11,7.5
February,,,,,,,,,6.64,6.15
March,,,,,,,,,6.3,3.25
April,,,,,,,,,7.15,7.95
May,,,,,,,,8.56,3.15,4.85
June,,,,,,,,2.4,5.95,4
July,,,,,,,,3.15,6.95,4.65
August,,,,,,,,6.75,6.25,6.35
September,,,,,,,,6.55,3.75,4.5
October,,,,,,,,10.45,10.05,2.25
November,,,,,,,,2.4,9.6,8.4
December,,,,,,,,7.6,9.05,10.2
Total,,,,,,,,,78.95,70.05
