WINFRITH-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY805842,Long,-2.27721,Lat,50.65741,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.2,4.02,2.43,2.73,2.33,2.95,0.71,5.31,5.89,4.18,6.56,3.95,4.96,5.58,8.22,2.82,2.59,4.1,3.86,,,
February,,,,,,,,,,2,1.11,3.22,0.13,4.72,0.1,3.26,4.24,6.19,0.9,2.36,5.26,5.03,0.22,1.37,0.69,2.81,2.59,2.7,,,
March,,,,,,,,,,0.18,1.31,1.52,1.98,3.66,3.44,1.52,3.94,4.17,0.41,0.99,3.65,3.86,3.03,1.03,0.4,1.21,1.69,8.86,,,
April,,,,,,,,,,1.13,2.68,2.4,4.28,2.08,1.47,3.86,1.84,2.86,0.03,2.68,2.16,1.87,1.97,1.04,1.95,0.86,2.61,2.75,,,
May,,,,,,,,,,1.96,4.26,4,2.31,1.55,0.85,2.36,0.53,3.82,1.67,1.4,1.39,3.05,4.59,2.59,0.21,2.37,3.85,1.91,,,
June,,,,,,,,,,1.85,0.66,3.29,2.7,0.6,1.4,4.33,1.9,0.87,0.54,2.68,0.29,1.62,0.48,1.27,2.41,3.58,4.94,2.1,,,
July,,,,,,,,,,1.37,2.38,4.38,2.9,1.89,0.09,0.47,4.8,3.45,2.24,5.04,2.54,1.4,1.7,2.39,3.68,1.39,1.67,1.54,,,
August,,,,,,,,,,1.91,4.07,3.75,0.96,0.77,3.76,3.67,0.26,1.47,1.93,1.79,0.04,4.97,5.15,2.18,2.36,2.32,4.68,1.17,,,
September,,,,,,,,,,0.57,3.74,1.99,3.33,2.56,2.58,4.11,3.03,2.87,2.75,1.14,1.82,1.31,3.52,2.61,2.05,2.88,5.26,1.98,,,
October,,,,,,,,,,4.78,3,0.95,6.82,1.69,2.29,6.63,2.01,5.05,4.56,6.51,5.76,1.51,4.63,5.3,4.43,4.1,1.6,,,,
November,,,,,,,,,,8.89,6.44,5.86,2.77,1.3,2.39,8.27,3.65,2.82,6.53,8.24,9.79,1.9,2.25,2.67,7.17,1.71,6.08,,,,
December,,,,,,,,,,7.24,6.03,1.13,1.95,1.47,11.38,5.64,3.39,4.6,4.06,2.87,3.58,3.21,5.82,4.21,2.85,4.99,4.43,,,,
Total,,,,,,,,,,34.08,39.7,34.92,32.86,24.62,32.7,44.83,34.9,44.06,29.8,42.26,40.23,34.69,38.94,34.88,31.02,30.81,43.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Oct Observer moved to Wool where record will again be kept if suitable site available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
