DONCASTER-HEXTHORPE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE558021,Long,-1.1600191,Lat,53.512628,Elevation,30,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,0.18,,0.86,0.64,0.73,3.69,3.01,1.01,,0.6,2.14,1.56,,2.69,,,,,,,,,,
February,,,,,,,,1.48,,0.43,3.5,0.88,1.41,0.51,1.26,,3.31,0.59,1.15,,2.24,,,,,,,,,,
March,,,,,,,,1.46,,2.66,1.02,1.02,2.65,2.1,1.39,,4.02,1.48,0.95,,1.95,,,,,,,,,,
April,,,,,,,0.74,1.93,,1.72,1.4,0.93,0.15,2.05,0.15,,1.32,1.75,1.15,,3.74,,,,,,,,,,
May,,,,,,,1.34,3.01,,1.65,1.76,0.51,3.69,1.84,1.61,,1.72,2.31,2.33,,2.97,,,,,,,,,,
June,,,,,,,2.03,4.31,,2.93,3.49,2.8,4.32,0.47,1.87,,1.56,2.03,1.09,,1.81,,,,,,,,,,
July,,,,,,,0.52,2.25,,3.27,2.85,0.41,4.08,0.6,3.8,,0.91,1.2,2.47,,4.32,,,,,,,,,,
August,,,,,,,1.29,2.09,,3.32,1.86,2.07,4.61,1.28,2.02,,1.74,4.63,1.79,,0.99,,,,,,,,,,
September,,,,,,,0.88,0.24,,1.9,0.23,2.2,1.43,5.07,0.83,,2.13,0.7,4.42,,1.04,,,,,,,,,,
October,,,,,,,4.39,4.62,,2,1.61,2.2,2.33,3.28,1.73,,1.48,2.83,1.56,,1.74,,,,,,,,,,
November,,,,,,,2.62,2.39,,0.27,3.85,3.22,1.38,1.88,2.29,,2.22,0.98,1.08,,1.24,,,,,,,,,,
December,,,,,,,1.42,2.53,,5.07,3.76,3.99,2.91,0.52,5.12,,2.15,1.23,3,,2.45,,,,,,,,,,
Total,,,,,,,,26.49,,26.08,25.97,20.96,32.65,22.61,23.08,,23.16,21.87,22.55,,27.18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Hexthorpe House, thought to be the Hall. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Could be the Manor House 100m E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
