SALCOMBE-THE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX739390,Long,-3.76875,Lat,50.23808,Elevation,111,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.18,7.91,1.45,3.99,1.52,1.72,3.74,6.93,6.84,4.53,5.82,2.84,5.46,7.66,5.69,4.28,6.82,2.94,6.08,2.04,4.21,2.46,3.14,0.79,,,,,
February,,3.94,1.26,4.51,6.09,6.82,1.33,1.88,5.84,0.78,0.67,3.21,6.44,1.83,5.41,3.42,2.97,3.68,1.26,1.98,2.42,0,4.87,0.02,4.63,,,,,
March,,5.27,5.21,6.96,1,3.84,4.2,2.6,4.71,4,2.29,3.46,,2.76,1,1.43,3.54,3.28,0.26,3.55,2.13,2.17,3.71,3.72,,,,,,
April,,0.25,3.66,1.38,1.33,0.82,1.29,1.38,2.36,3.58,0.69,3.48,3.8,3.42,2.66,2.41,2.3,2.65,1.02,3.46,,4.22,2.04,2.85,,,,,,
May,,2.14,2.47,1.57,3.4,2.05,2.04,1.38,1.64,1.51,2.89,1.63,,4.12,4.57,1.76,0.27,1.48,2.86,2.94,2.68,3.69,1.54,0.96,,,,,,
June,,4.72,0.88,0.87,2.05,1.65,1.95,0.95,0.94,2.7,0,0.88,,1.53,0.01,3.03,1.22,1.93,2.69,0.8,3.98,2.95,1.91,1.52,,,,,,
July,,3.06,1.15,3.26,3.71,1.04,2.35,3.47,1.81,3.71,0.53,2.08,1.58,4.64,4.13,1.01,2.8,2.45,1.57,1.69,4.92,2.44,2.83,0.06,,,,,,
August,0.92,7.65,1.05,2.44,1.13,3.85,5.03,2.01,2.98,1.21,3.12,,1.73,3.23,2.9,,2.87,2.28,1.83,3.72,4.05,1.56,1.2,2.37,,,,,,
September,2,1.31,2.33,3.47,1.17,2.64,2.24,6.65,1.63,2.08,0.92,1.53,3.82,3.64,4.06,,4.53,2.17,0.4,4.96,1.48,5.49,2.86,2.59,,,,,,
October,4.62,5.01,2.63,3.37,4.6,6.77,5.09,2.92,1,2.63,1.44,1.9,,9.37,3.83,4.24,3.23,5.64,5.86,2.76,0.94,7.71,2.34,2.52,,,,,,
November,4.37,2.87,3.91,4.48,2.73,5.85,2.05,1.57,2.95,0.98,3.4,,2.27,4.3,3.7,8.15,4.98,4.57,9.85,5.8,6.29,2.7,2.22,2.26,,,,,,
December,8.63,6.37,2.97,8.86,8.69,6.12,1.07,4.8,6.71,5.4,1.83,,3.8,6.65,5.1,0.85,5.2,6.27,8.81,3.3,2.18,3.5,1.97,10.04,,,,,,
Total,,46.77,35.43,42.62,39.89,42.97,30.36,33.35,39.5,35.42,22.31,,,50.95,45.03,,38.19,43.22,39.35,41.04,,40.64,29.95,32.05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Park Gauge moved here in 1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 July 22 Inspection Exposure very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Station is unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan Estimated Unknown if for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
