"NOTTINGHAM ROPEWALK THE PARK",,,,,,,,,,,,
Grid ref,SK566398,Long,-1.158999,Lat,52.952601,,,,,,,
Station no,RR1233,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,1.45,1.93,,,,,,,,,
February,3.46,1.24,1.74,,,,,,,,,
March,0.71,2.43,1.10,,,,,,,,,
April,0.85,1.23,2.03,,,,,,,,,
May,1.75,0.97,2.08,,,,,,,,,
June,3.86,0.93,1.51,,,,,,,,,
July,2.09,3.76,0.91,,,,,,,,,
August,3.29,,4.76,,,,,,,,,
September,0.64,1.87,1.45,,,,,,,,,
October,2.33,1.57,2.40,,,,,,,,,
November,2.08,1.75,0.74,,,,,,,,,
December,3.55,4.59,1.19,,,,,,,,,
Total,28.25,21.79,21.84,,,,,,,,,
Calc annual,28.25,21.79,21.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
