ANDOVER-WW,,,,,,,,,,,,,,,,,,,,
Grid ref,SU368467,Long,-1.47359,Lat,51.21857,Elevation,205,ft,,,,,,,,,,,,
Station no,662/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.09,6.17,0.96,0.55,2.88,2.06,0.89,1.13,,4.17,2.16,3.44,4.45,4.24
February,,,,,,,1.08,1.03,1.45,4.88,5.89,0.4,1.36,2.8,,0.15,3.5,2.76,0.15,2.8
March,,,,,,,5.8,0.96,1.24,1.26,3.55,2.64,0.37,2.42,,1.05,1.8,1.35,3.51,1.86
April,,,,,,,2.31,1.31,1.7,3.26,3.15,1.5,2.67,0.49,0.5,1.06,0.14,0.78,2.95,0.98
May,,,,,,,1.18,4.1,3.11,1.89,2.81,3.32,1.81,1.44,4.11,0.3,2.13,2.25,0.43,1.21
June,,,,,,,1.59,2.06,0.33,1.04,0.38,1.25,1.67,3.42,2.73,1.72,2.79,3.2,0.66,3.08
July,,,,,,,1.67,1.08,1.44,3.97,0.84,0.51,4.4,2.61,0.15,2.26,5.23,1.62,1.79,3.41
August,,,,,,,0.59,3.44,1.72,3.68,4.62,3.12,1.68,3.16,0.81,4.79,2.95,3.84,2.09,3.4
September,,,,,,,0.98,2.45,3.62,3.09,3.23,2.71,2.55,2.97,1.84,3.36,2.53,3.96,0.08,4.22
October,,,,,,,0.55,2.24,7.52,0.69,0.54,4.56,3.83,2.25,3.24,1.83,2.48,3.45,2.95,10.15
November,,,,,,,1.4,1.74,2.75,5.66,7.85,3.52,1.84,6.48,2.27,0.63,1.8,2.54,3.1,3.85
December,,,,,,,2.96,3.75,1.41,1.63,2.62,2.82,0.64,2.15,3.31,4.55,3,2.97,6.55,3.79
Total,,,,,,,22.2,30.33,27.25,31.6,38.36,28.41,23.71,31.32,,25.87,30.51,32.16,28.71,42.99
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1955 Jan Feb Mar values estimated,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Andover W Wks SRC_ID 7632,,,,,,,,,,,,,,,,,,,,
Station still in use,,,,,,,,,,,,,,,,,,,,
