"ANDOVER (WATERWORKS)",,,,,,,,,,,,
Grid ref,SU368467,Long,-1.474476,Lat,51.218319,,,,,,,
Station no,662/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,2.06,0.89,1.13,3.06,4.17,2.16,3.44,4.45,4.24,,
February,5.89,0.40,1.36,2.80,1.39,0.15,3.50,2.76,0.15,2.80,,
March,3.55,2.64,0.37,2.42,1.10,1.05,1.80,1.35,3.51,1.86,,
April,3.15,1.50,2.67,0.49,0.50,1.06,0.14,0.78,2.95,0.98,,
May,2.81,3.32,1.81,1.44,4.11,0.30,2.13,2.25,0.43,1.21,,
June,0.38,1.25,1.67,3.42,2.73,1.72,2.79,3.20,0.66,3.08,,
July,0.84,0.51,4.40,2.61,0.15,2.26,5.23,1.62,1.79,3.41,,
August,4.62,3.12,1.68,3.16,0.81,4.79,2.95,3.84,2.09,3.40,,
September,3.23,2.71,2.55,2.97,1.84,3.36,2.53,3.96,0.08,4.22,,
October,0.54,4.56,3.83,2.25,3.24,1.83,2.48,3.45,2.95,10.15,,
November,7.85,3.52,1.84,6.48,2.27,0.63,1.80,2.54,3.10,3.85,,
December,2.62,2.82,0.64,2.15,3.31,4.55,3.00,2.97,6.55,3.79,,
Total,38.36,28.41,23.71,31.32,24.51,25.87,30.51,32.16,28.71,42.99,,
Calc annual,38.36,28.41,23.71,31.32,24.51,25.87,30.51,32.16,28.71,42.99,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
