SUNDERLAND ST BEDE'S TERRACES,,,,,,,,,,
Grid ref,NZ398562,Long,-1.3809206,Lat,54.898951,Elevation,105,ft,,
Station no,RR6328,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,2.09,1.1,1.66,2.61,0.58,,,
February,,,2.15,1.68,1.07,1.08,2.29,,,
March,,,3,1.73,1.29,0.65,2.51,,,
April,,,2.08,1.55,0.7,0.7,3.35,,,
May,,,1.41,2.4,2.72,0.75,1.1,,,
June,,,2.37,1.24,0.42,2.61,1.77,,,
July,,,3.04,2.9,1.21,3.22,,,,
August,,,3.15,2.43,2.9,3.95,,,,
September,,,4.28,1.9,1.81,2.01,,,,
October,,,5.34,2.14,1.58,3.12,,,,
November,,,3.78,1.19,2.46,5.77,,,,
December,,,3.55,0.31,4.54,1.84,,,,
Total,,,36.24,20.57,22.36,28.31,,,,
,,,,,,,,,,
Gauge moved to The Limes July 1876,,,,,,,,,,
