SUNDERLAND THE LIMES,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ397554,Long,-1.3825898,Lat,54.89177,Elevation,120,ft,,,,,,,,,,,,
Station no,RR6328,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.11,2.34,1.33,0.5,0.73,0.39,1.37,2.93,,,,,
February,,,,,,,,1.8,1.1,3.29,1.69,3.56,0.43,1.91,1.25,,,,,
March,,,,,,,,2.6,0.71,0.75,1.69,2.66,1.09,2.09,2.05,,,,,
April,,,,,,,,4.77,2.68,2.13,1.9,0.77,3.82,1.32,1.73,,,,,
May,,,,,,,,2.54,2.2,1.96,1.42,1.77,2.67,1.69,0.67,,,,,
June,,,,,,,,1.57,1.85,4.34,1.17,1.41,3.09,1.83,0.85,,,,,
July,,,,,,,2.82,3.16,0.5,4.19,-999,2.67,2.61,4.4,3.01,,,,,
August,,,,,,,1.82,5.34,4.9,3.24,-999,4.5,4.61,2.64,0.64,,,,,
September,,,,,,,3.71,1.55,1.44,1.27,4.18,4.35,,4.32,0.99,,,,,
October,,,,,,,1.91,2.37,1.56,0.68,3.84,2.83,,1.69,1.42,,,,,
November,,,,,,,3.3,1.45,6.53,2.06,1.88,1.09,2.9,1,1.36,,,,,
December,,,,,,,5.74,1.67,3.34,1.41,2.75,2.2,4.28,2.62,1.71,,,,,
Total,,,,,,,,31.93,29.15,26.65,25.71,28.54,,26.88,18.61,,,,,
,,,,,,,,,,,,,,,,,,,,
1880 July/Aug bracketed,,,,,,,,,,,,,,,,,,,,
1882 Sept/Oct bracketed but no value,,,,,,,,,,,,,,,,,,,,
