COBBINSHAW RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT024591,Long,-3.5590833,Lat,55.815262,Elevation,863,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2,5.4,7,4.8,3.2,1.1,2.3,2.6,3.2,5,4.4,1.8,4.7,6.6,2.1,3.5,5.6,3.8,6.1,4.1,3.1,3.1,5.8,5,3.5,4.1,1.7,8.1,,
February,6.9,2,4.7,2.2,2.8,0.5,2.9,1.7,1,5.1,2.1,1.9,1.1,2.6,2.8,1.5,3.6,3.7,5.5,5.6,1.8,3.6,2.7,1.1,1.3,1.3,3.3,3.7,,
March,0.7,3.8,0.4,1,2.5,1.7,0,2.7,1,6,3.3,4.7,2.8,1.1,4.4,1,2,1.4,5,1,0.8,2.7,3.4,2.4,2.4,1.3,4.2,2.1,,
April,1.4,3.1,1,2.7,0.6,1.3,1.7,1.7,1.2,3,0.6,1.4,3,2.9,1.3,0.4,2.1,4.4,4.1,1.4,1,3.1,1.7,0.2,1.7,1.2,2.3,3.2,,
May,2.7,0.5,2.1,0.5,3.7,1.7,3.4,1.5,3.7,0,1.4,0.4,3,2.5,2,3.8,1.9,2.4,2.6,2.2,2.4,1,4.4,3.4,1.1,1.5,1,2.8,,
June,2.8,4,3.5,4.8,4.7,2.7,4.4,4,1.6,2,4.7,2.5,3.6,2.6,2.3,0.6,1.9,3.2,0.6,2.2,2.6,1.6,5.3,1.3,0.9,2.7,2.7,2.8,,
July,3.2,4.4,3.4,5.5,1.8,2.6,2.7,1.9,4.4,3.3,2.1,3.2,4.3,0.2,2.8,3.5,4.5,5.6,0.5,1.7,1.6,4.4,3.3,3.6,3.1,2.6,2.3,5.1,,
August,3.7,4.4,3.7,3.4,1.5,4.1,4.6,1.5,1.4,1.5,3,5.8,3.9,3,0.8,4.6,4,4.8,4.3,0.9,0.8,3.6,4.1,5,6.5,2.4,2.7,5,,
September,2.2,2.2,1.7,2.5,1.9,0.5,9.7,5.2,2.6,2.5,1.2,4.9,2.2,4.9,3.6,1,4.1,3,2.9,6.2,2.4,2.1,6.3,4.7,3,4.2,2.8,1.8,,
October,2.5,3.3,4.6,4.2,3,5.5,1.5,3.1,6.6,3.5,5.1,2.3,7.7,3.6,8.6,5,2.7,2.6,3.8,2.2,3.6,3.2,4.5,5.7,5,3.8,3.6,3.5,,
November,5.2,1.1,4.7,1.5,4,1.5,1,2.6,0.8,3,1.5,7.3,1.3,3.1,2.8,2.8,4.4,1.1,3.4,4.2,1.7,4.1,5.8,3.6,3.7,5.3,2.5,5,,
December,4.1,1.2,10.8,1.5,5.8,1.7,6.6,3.9,2.7,2.8,1.5,1.6,4.6,3.7,3,2,5.1,2.6,5.5,4.1,1.7,3.9,3.3,2.8,1.5,2.8,5.6,4.3,,
Total,37.4,35.4,47.6,34.6,35.5,24.9,40.8,32.4,30.2,37.7,30.9,37.8,42.2,36.8,36.5,29.7,41.9,38.6,44.3,35.8,23.5,36.4,50.6,38.8,33.7,33.2,34.7,47.4,,
