"DOUGLAS, PROSPECT HILL",,,,,,,,,,,,,,,,,,,,
Grid ref,SC380755,Long,-4.4819863,Lat,54.1497,Elevation,85,ft,,,,,,,,,,,,
Station no,RR8899,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.75,3.12,1.41,1.85,4.65,1.39,,,,,,,,
February,,,,,,,2.39,1.12,0.67,3.05,1.67,0.26,,,,,,,,
March,,,,,,,4.59,1.67,3.09,1.82,2.82,1.42,,,,,,,,
April,,,,,,,2.7,1.28,2.71,3.38,1.8,2.78,,,,,,,,
May,,,,,,,6.73,1.54,1.69,2.45,3.26,1.39,,,,,,,,
June,,,,,,,1.42,0.52,2.42,0.4,3.73,2.77,,,,,,,,
July,,,,,,,4.83,2.34,5.9,2.46,2.75,1.27,,,,,,,,
August,,,,,,,2.12,1.29,2.66,5.27,2.68,6.75,,,,,,,,
September,,,,,,,4.29,3.26,0.95,3.07,3.79,6.17,,,,,,,,
October,,,,,,,3.92,2.71,2.57,3.41,1.71,5.85,,,,,,,,
November,,,,,,,4.2,3.7,5.47,2.37,7.6,4.45,,,,,,,,
December,,,,,,,6.38,2.99,3.97,3.13,2.08,7.18,,,,,,,,
Total,,,,,,,47.32,25.54,33.51,32.66,38.54,41.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge on roof,,,,,,,,,,,,,,,,,,,,
