"KESTON (KESTON COURT FARM)",,,,,,,,,,,,
Grid ref,TQ415630,Long,0.030447,Lat,51.348471,,,,,,,
Station no,388/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.56,1.22,1.82,2.84,4.48,1.84,3.10,3.69,2.66,,
February,,1.15,1.71,2.70,1.89,0.81,3.72,2.56,0.08,2.31,,
March,,2.63,0.37,2.51,1.48,1.06,1.15,1.95,2.43,2.01,,
April,,1.47,2.32,0.30,0.27,1.34,0.41,1.31,2.82,0.63,,
May,,1.32,1.89,2.18,4.06,0.47,1.41,2.02,1.30,2.01,,
June,,1.34,2.03,5.03,2.15,3.92,1.23,4.79,1.03,1.27,,
July,,0.76,3.51,2.75,0.07,4.71,3.50,2.15,1.58,3.49,,
August,,4.47,1.55,3.01,1.30,3.54,2.97,3.20,1.04,3.38,,
September,,3.50,3.55,2.14,2.08,2.50,2.90,5.06,0.22,3.98,,
October,,3.97,4.61,1.93,4.76,1.47,2.00,3.36,2.24,6.59,,
November,,4.46,1.20,5.89,1.05,0.78,3.48,1.63,3.24,4.83,,
December,,2.00,1.07,2.57,2.54,3.64,2.56,3.51,5.25,3.20,,
Total,,29.63,25.03,32.83,24.49,28.72,27.17,34.64,24.92,36.36,,
Calc annual,0.00,29.63,25.03,32.83,24.49,28.72,27.17,34.64,24.92,36.36,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
