"BUNTINGFORD (CHIPPING)",,,,,,,,,,,,
Grid ref,TL355323,Long,-0.028811,Lat,51.972659,,,,,,,
Station no,970/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.93,1.76,1.36,0.90,2.14,3.37,1.00,2.33,2.49,2.29,,
February,4.02,0.67,2.00,1.76,1.69,0.72,2.22,2.30,0.04,1.74,,
March,3.14,2.99,0.42,2.43,1.37,0.52,0.91,0.88,1.89,1.09,,
April,3.04,0.98,2.04,0.33,0.47,1.05,0.18,0.88,1.88,0.50,,
May,2.47,2.33,1.57,2.57,3.76,0.35,0.87,2.16,0.51,1.15,,
June,0.93,1.18,1.87,1.92,2.60,3.09,1.30,5.67,0.81,1.74,,
July,0.98,0.50,3.41,2.78,0.71,2.90,2.76,2.88,4.01,3.02,,
August,4.27,3.65,2.03,3.58,0.99,4.92,2.50,2.78,1.34,2.88,,
September,2.45,3.12,1.81,1.51,1.51,1.76,3.22,2.44,0.09,4.00,,
October,1.19,2.02,2.91,2.12,3.26,2.20,2.12,2.67,1.74,5.77,,
November,4.25,3.74,1.35,4.16,1.28,1.14,1.95,2.06,1.76,3.39,,
December,1.79,2.05,0.55,1.85,1.96,3.25,2.15,2.62,4.19,3.37,,
Total,31.46,24.99,21.32,25.91,21.74,25.27,21.18,29.67,20.75,30.94,,
Calc annual,31.46,24.99,21.32,25.91,21.74,25.27,21.18,29.67,20.75,30.94,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
