BUNTINGFORD-CHIPPING,,,,,,,,,,,,,,,,,,,,
Grid ref,TL355323,Long,-0.028811,Lat,51.972659,Elevation,340,ft,,,,,,,,,,,,
Station no,970/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.41,2.35,1.75,1.35,3.39,1.14,1.06,2.93,1.76,1.36,0.9,2.14,3.37,1,2.33,2.49,2.29
February,,,,0.99,1.42,2.03,1.48,1.05,1.17,2.91,4.02,0.67,2,1.76,1.69,0.72,2.22,2.3,0.04,1.74
March,,,,0.21,0.54,1.22,,0.94,0.92,0.52,3.14,2.99,0.42,2.43,1.37,0.52,0.91,0.88,1.89,1.09
April,,,,1.6,1.02,1.13,1.75,1.66,1.79,1.54,3.04,0.98,2.04,0.33,0.47,1.05,0.18,0.88,1.88,0.5
May,,,,1.37,2.1,2.49,0.64,2.44,2.15,1.69,2.47,2.33,1.57,2.57,3.76,0.35,0.87,2.16,0.51,1.15
June,,,,1.43,1.92,2.39,2.1,4.06,0.76,1.17,0.93,1.18,1.87,1.92,2.6,3.09,1.3,5.67,0.81,1.74
July,,,,1.86,2.84,2.52,1.61,1.1,1.44,4.56,0.98,0.5,3.41,2.78,0.71,2.9,2.76,2.88,4.01,3.02
August,,,,2.77,1.68,2.99,0.05,3.33,1.28,3.95,4.27,3.65,2.03,3.58,0.99,4.92,2.5,2.78,1.34,2.88
September,,,,3.17,2.19,2.76,1.28,1.56,0.59,2.69,2.45,3.12,1.81,1.51,1.51,1.76,3.22,2.44,0.09,4
October,,,,3.49,2.05,1.05,0.09,1.71,,0.31,1.19,2.02,2.91,2.12,3.26,2.2,2.12,2.67,1.74,5.77
November,,,,3.05,0.21,4.45,0.99,1.91,2.31,4.96,4.25,3.74,1.35,4.16,1.28,1.14,1.95,2.06,1.76,3.39
December,,,,1.06,2.82,1.86,2.88,2.02,1.35,1.69,1.79,2.05,0.55,1.85,1.96,3.25,2.15,2.62,4.19,3.37
Total,,,,22.41,21.14,26.64,,25.17,,27.05,31.46,24.99,21.32,25.91,21.74,25.27,21.18,29.67,20.75,30.94
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Mar estimated,,,,,,,,,,,,,,,,,,,,
1949 Oct estimated,,,,,,,,,,,,,,,,,,,,
