GRESFORD-HORSLEY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ365550,Long,-2.949577,Lat,53.08842,Elevation,135,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.39,1.49,1.46,,2.78,3.27,,,,,,
February,,,,,,,,,1.2,0.49,2.66,,1.42,1.21,,,,,,
March,,,,,,,,,2.62,2.4,0.83,,3.65,3.66,,,,,,
April,,,,,,,,,2.59,1.7,1.97,,0.41,3.98,,,,,,
May,,,,,,,,,3.24,0.69,1.92,,2.41,2.56,,,,,,
June,,,,,,,,,2.4,3,2.95,,3.89,1.15,,,,,,
July,,,,,,,,,4.58,1.85,2.44,,2.11,1.75,,,,,,
August,,,,,,,,,3.75,2.67,2.6,,5.14,1.93,,,,,,
September,,,,,,,,,3.52,2.79,0,,0.92,1.18,,,,,,
October,,,,,,,,,2.05,3.95,2.68,,3.13,3.49,,,,,,
November,,,,,,,,,2.29,0.7,4.87,2.73,1.99,1.99,,,,,,
December,,,,,,,,,1.69,5.26,3.24,4.59,2.24,1.8,,,,,,
Total,,,,,,,,,31.32,26.99,27.62,,30.09,27.97,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Horsley Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
