GRESFORD-HORSLEY-HALL-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ366550,Long,-2.9480842,Lat,53.088431,Elevation,100,ft.,,,,,,,,,,,,,
Station no,4301,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.63,4.54,1.33,4.64,,,,,,,,,,
February,,,,,,,,1.45,2.32,0.84,0.47,,,,,,,,,,
March,,,,,,,,2.82,1.98,0.15,3.48,,,,,,,,,,
April,,,,,,,,2.23,1.35,0.85,2.49,,,,,,,,,,
May,,,,,,,,1.19,1.63,1.66,1.47,,,,,,,,,,
June,,,,,,,,4.3,4.75,2.39,1.16,,,,,,,,,,
July,,,,,,,,2.61,1.27,2.03,3.98,,,,,,,,,,
August,,,,,,,,4.68,2.38,2.28,3.42,,,,,,,,,,
September,,,,,,,,2.58,1.44,1.94,3.89,,,,,,,,,,
October,,,,,,,,2.73,3.9,4.12,3.77,,,,,,,,,,
November,,,,,,,,3.18,4.69,4.91,3.74,,,,,,,,,,
December,,,,,,,,1.67,2.49,5.18,4.29,,,,,,,,,,
Total,,,,,,,,32.07,32.74,27.68,36.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is in the gardens of Horsley Hall at the stated altitude.,,,,,,,,,,,,,,,,,,,,,
