"GRESFORD HORSLEY HALL",,,,,,,,,,,,
Grid ref,SJ365550,Long,-2.949577,Lat,53.088419,,,,,,,
Station no,4301,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.39,1.49,,
February,,,,,,,,,1.20,0.49,,
March,,,,,,,,,2.62,2.40,,
April,,,,,,,,,2.59,1.70,,
May,,,,,,,,,3.24,0.69,,
June,,,,,,,,,2.40,3.00,,
July,,,,,,,,,4.58,1.85,,
August,,,,,,,,,3.75,2.67,,
September,,,,,,,,,3.52,2.79,,
October,,,,,,,,,2.05,3.95,,
November,,,,,,,,,2.29,0.70,,
December,,,,,,,,,1.69,5.26,,
Total,,,,,,,,,31.32,26.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.32,26.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
