HODDESDON-LEA-VALLEY,,,,,,,,,,
Grid ref,TL371105,Long,-0.014183,Lat,51.776384,Elevation,153,ft,,
Station no,948/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.28,2.14
February,,,,,,,,,0.07,1.72
March,,,,,,,,,2.05,1.04
April,,,,,,,,,2.44,0.47
May,,,,,,,,,0.96,1.26
June,,,,,,,,,2.01,
July,,,,,,,,,1.97,
August,,,,,,,,,0.46,
September,,,,,,,,,0.08,
October,,,,,,,,,1.72,
November,,,,,,,,1.8,2.28,
December,,,,,,,,2.62,4.24,
Total,,,,,,,,,20.56,
