ISLE-OF-GRAIN (OIL REFINERY),,,,,,,,,,
Grid ref,TQ871749,Long,0.690817,Lat,51.442184,Elevation,8,ft,,
Station no,0373/4/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.55,3.49,1.12,1.55,1.18,1.87
February,,,,,1.24,0.4,2.22,2.09,0.03,1.09
March,,,,,0.84,0.41,0.74,1.06,0.94,1.42
April,,,,,0.1,1.14,0.09,1.57,1.5,0.47
May,,,,,3.79,0.5,1.16,1.96,1.05,2.33
June,,,,,1.88,1.31,1.27,4.26,0.5,2.19
July,,,,,3.2,3.58,2.72,2.32,1.88,2.09
August,,,,,1.67,3.07,1.93,3.26,1.22,3.21
September,,,,,2.2,1.56,2.47,2.75,0.09,2.09
October,,,,,4.49,1.14,1.29,2.2,2.2,4.8
November,,,,,0.31,0.41,2.52,1.25,2.66,3.18
December,,,,,1.33,1.76,1.49,2.84,2.56,2.02
Total,,,,,23.6,18.77,19.02,27.11,15.81,26.76
