"MUIR OF ORD (FAIRBURN)",,,,,,,,,,,,
Grid ref,NH455528,Long,-4.582664,Lat,57.538863,,,,,,,
Station no,5771,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.57,3.74,2.55,4.06,2.50,3.22,5.51,3.82,3.61,3.77,,
February,3.09,2.16,2.21,2.29,2.65,2.38,2.38,2.66,1.11,2.86,,
March,2.83,2.18,2.18,2.02,1.17,2.13,3.21,1.83,2.17,0.63,,
April,4.15,1.52,2.14,1.92,0.83,2.50,1.22,2.04,5.08,2.91,,
May,1.32,1.61,3.08,3.24,2.33,2.39,1.48,3.92,1.48,0.99,,
June,2.00,2.03,3.73,2.20,1.20,1.60,2.23,2.52,1.93,3.05,,
July,4.63,1.57,3.29,3.31,0.24,4.40,7.19,2.49,3.36,3.13,,
August,3.98,4.41,1.82,2.39,0.66,5.48,4.57,3.43,2.38,7.56,,
September,1.65,2.91,2.63,3.11,2.51,4.05,2.26,2.73,0.81,2.55,,
October,1.31,4.57,0.71,6.19,3.59,4.74,3.32,3.65,4.19,2.65,,
November,5.05,2.91,4.30,4.10,1.28,3.61,1.80,0.98,3.95,1.85,,
December,6.57,3.92,3.51,9.33,8.16,5.22,5.86,3.46,3.21,5.10,,
Total,40.15,33.53,32.15,44.16,27.12,41.72,41.03,33.53,33.28,37.05,,
Calc annual,40.15,33.53,32.15,44.16,27.12,41.72,41.03,33.53,33.28,37.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
