"MUIR OF ORD (FAIRBURN)",,,,,,,,,,,,
Grid ref,NH455528,Long,-4.582664,Lat,57.538863,,,,,,,
Station no,5771,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,0.81,,,
October,,,,,,,,,4.19,,,
November,,,,,,,,,3.95,,,
December,,,,,,,,,3.21,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.16,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
