NORTHAMPTON-THE-HOLLYS,,,,,,,,,,,,,,,,,,,,
Grid ref,SP759603,Long,-0.88998941,Lat,52.235671,Elevation,232,ft,,,,,,,,,,,,
Station no,RR7057,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.5,2.24,3.63,1.31,1.77,0.42,1,1.5,3,2.56,1.26,2.88,3.64,,
February,,,,,,1.31,1.39,1.83,1.54,2.84,2.81,2.99,1.73,3.68,0.77,3.13,0.32,0.67,,
March,,,,,,1,2.96,1.87,0.67,0.9,1.38,1.66,1.16,1.22,1.53,1.09,1.73,1.11,,
April,,,,,,2.25,3.65,2.5,2.02,2.32,1.29,0.66,3.71,1.73,1.73,1.46,1.89,2,,
May,,,,,,1.38,0.42,2.08,4.2,2.9,1.16,0.81,1.84,1.78,1.13,2.7,3.79,1.75,,
June,,,,,,3.19,1.27,0.81,3.78,4.06,2.15,2.18,2.88,3.29,0.76,2.25,1.11,1.96,,
July,,,,,,7.19,1.25,3.28,0.48,3.1,7.25,3.94,3.69,3.64,4.01,0.31,3.5,0.59,,
August,,,,,,1.41,2.13,3.95,4.42,3.71,0.7,4.25,1.54,1.29,1.08,2.37,2.27,1.19,,
September,,,,,,2.92,5.98,2.36,2.31,3.03,4.74,1.48,3.49,4.98,1.41,4.02,1.33,1.38,,
October,,,,,,6.09,1.24,1.22,2.33,0.51,5.78,3.22,5.86,1.8,0.94,3.4,3.6,1.45,,
November,,,,,,4.26,2.98,3.11,2.79,1.15,2.08,3.01,3.71,3.19,0.99,3.73,2.16,2.26,,
December,,,,,,1.12,5.15,1.78,1.71,0.58,2.73,3.15,2.95,0.85,2.44,0.77,4.22,1.84,,
Total,,,,,,34.62,30.66,28.42,27.56,26.87,32.49,28.35,34.06,30.45,19.35,26.49,28.8,19.84,,
