EWHURST-COPSE-HILL-OBSERVER-AP-CLOW,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ081421,Long,-0.45524426,Lat,51.167939,Elevation,670,ft.,,,,,,,,,,,,
Station no,179/9/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.54,4.65,1.9,,1.57,3.98,4.79,2.21,,,
February,,,,,,,,,,5.58,6.99,0.87,1.46,2.61,1.91,0.38,4.4,,,
March,,,,,,,,,,1.51,4.48,2.92,0.51,2.81,1.77,0.99,1.74,,,
April,,,,,,,,,,2.98,2.76,2.04,2.32,0.79,0.27,1.67,0.61,,,
May,,,,,,,,,,1.42,2.89,2.66,2.61,1.95,3.56,0.49,1.5,,,
June,,,,,,,,,,1.83,1.14,1.62,1.81,3.74,2.36,2.4,1.17,,,
July,,,,,,,,,,3.78,2.24,1.76,3.83,3.34,0.79,3.68,4.56,,,
August,,,,,,,,,,2.57,5.03,3.78,1.86,2.92,1.31,2.95,3.12,,,
September,,,,,,,,,,3.32,3.66,1.88,3.07,2.68,2.25,3.41,3.18,,,
October,,,,,,,,,8.36,0.44,0.99,5.16,3.79,2.86,4.35,,1.59,,,
November,,,,,,,,,3.56,4.96,8.44,3.57,1.88,5.67,2.29,1.1,2.59,,,
December,,,,,,,,,1.59,1.98,3.27,2.7,0.96,3.35,3.38,4.77,2.91,,,
Total,,,,,,,,,,30.91,46.54,30.86,,34.29,28.22,,29.58,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Copse Hill. Stated altitude is 70 ft. too high but  stated altitude is within 100m of NGR used.,,,,,,,,,,,,,,,,,,,,
"1950s record has an NGR of TQ075423, which is 600m WNW, but not Copse Hill. Relationships to church and station are broadly consistent with both NGRs",,,,,,,,,,,,,,,,,,,,
Relationships to church and station are broadly consistent with both NGRs,,,,,,,,,,,,,,,,,,,,
The same NGR has been used as for the 1920s record but probable that the gauges are in different positions,,,,,,,,,,,,,,,,,,,,
