"KETTERING WATER WORKS CLOVER HILL",,,,,,,,,,,,
Grid ref,SP869799,Long,-0.723895,Lat,52.410211,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.15,0.91,,
February,,,,,,,,,0.99,0.52,,
March,,,,,,,,,2.96,2.69,,
April,,,,,,,,,2.51,1.24,,
May,,,,,,,,,1.58,1.25,,
June,,,,,,,,,1.03,3.31,,
July,,,,,,,,,2.19,2.73,,
August,,,,,,,,,2.73,1.95,,
September,,,,,,,,,1.39,2.21,,
October,,,,,,,,,1.31,3.34,,
November,,,,,,,,,0.86,0.63,,
December,,,,,,,,,1.54,4.17,,
Total,,,,,,,,,20.24,24.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.24,24.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
