LUTTERWORTH-ASHBY-MAGNA,,,,,,,,,,,,,,,,,,,,
Grid ref,SP563905,Long,-1.1719008,Lat,52.509494,Elevation,438,ft,,,,,,,,,,,,
Station no,RR6627,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.39,1.78,2.21,3.26,2.33,3.27,1.61,1.54,0.33,1.1,2.09,2.71,1.98,1.73,2.58,,,
February,,,1.92,0.94,1.92,1.16,2.72,2.08,1.51,2.7,2.81,3.15,1.9,3.43,0.81,2.85,0.44,,,
March,,,1.56,1.56,0.74,0.64,2.71,1.77,0.68,0.79,1.5,1.56,1.24,0.92,1.57,0.77,2.12,,,
April,,,2.55,0.65,1.25,1.57,3.45,2.65,1.58,2.41,1.59,0.79,2.86,1.87,1.77,2.57,2.09,,,
May,,,2.06,2.6,1.95,2.01,0.46,1.98,4.79,2.51,1.56,0.91,1.52,1.86,1.45,2.39,4.48,,,
June,,,4.69,2.99,0.5,5.42,2.56,1.02,2.29,4.78,2.98,1.85,4.36,3.08,1.57,2.23,0.76,,,
July,,,5.26,2.44,0.69,6.09,0.81,2.59,1.02,3.27,5.88,1.68,2.91,3.22,4.13,0.07,3.2,,,
August,,,3.82,2.79,2.47,1.75,2.47,3.08,4.15,4.63,2.84,4.81,1.5,1.27,1.78,3.02,1.36,,,
September,,,1.78,1.06,2.92,3.02,4.53,1.62,1.81,3.41,5.16,2.89,2.65,4.23,1.07,2.6,1.81,,,
October,,,3.67,2.01,2.52,6.06,1.58,1.57,2.54,0.77,5.67,2.79,5.55,1.93,1.15,4.54,4.31,,,
November,,,2.85,1.54,2.45,3.96,2.83,2.74,3.41,1.12,2.04,2.34,3.31,3.96,1.45,3.26,2.14,,,
December,,,3.11,0.43,1.74,1.12,5.14,1.87,1.77,0.7,2.69,2.54,3.2,0.75,1.85,0.54,3.54,,,
Total,,,36.66,20.79,21.36,36.06,31.59,26.24,27.16,28.63,35.05,26.41,33.09,29.23,20.58,26.57,28.83,,,
