"CHESHUNT (CEMETERY)",,,,,,,,,,,,
Grid ref,TL346021,Long,-0.053643,Lat,51.701509,,,,,,,
Station no,938/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,1.86,1.08,0.95,2.29,3.75,1.13,2.51,2.18,2.00,,
February,5.01,0.57,1.54,2.31,1.61,0.27,3.18,2.58,0.06,1.98,,
March,2.92,2.78,0.58,2.43,1.13,0.89,1.24,1.13,2.06,1.07,,
April,3.11,1.28,2.29,0.30,0.47,1.22,0.21,1.14,2.42,0.51,,
May,2.20,1.53,1.34,2.08,4.36,0.74,0.89,2.66,0.95,1.90,,
June,0.60,1.61,1.98,3.30,2.11,3.05,1.18,5.05,1.19,1.30,,
July,0.79,0.63,2.88,3.03,0.16,4.20,2.76,2.66,1.64,3.73,,
August,5.50,2.69,1.81,3.33,1.62,3.94,1.73,3.13,1.41,2.58,,
September,3.29,3.04,1.79,1.85,1.53,2.15,3.14,2.68,0.12,4.30,,
October,0.71,2.07,2.84,2.31,3.68,2.26,1.89,2.75,2.00,5.67,,
November,4.64,3.12,1.02,3.85,0.87,0.61,2.39,1.81,2.57,3.68,,
December,1.65,2.29,0.58,1.74,1.76,3.02,1.99,2.97,3.66,2.71,,
Total,33.20,23.47,19.73,27.48,21.59,26.10,21.73,31.07,20.26,31.43,,
Calc annual,33.20,23.47,19.73,27.48,21.59,26.10,21.73,31.07,20.26,31.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
