ALDERLEY-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ841761,Long,-2.2399311,Lat,53.281633,Elevation,310,ft.,,,,,,,,,,,,
Station no,RR460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,,0.42,2.4,1.17,3.17,3.31,1.68,1.19,1.14,2.05,1.33,,,,,
February,,,,,,1.84,1.52,3.44,2.5,3.44,1.49,0.57,1.63,3.96,0.86,,,,,
March,,,,,,3.96,1.36,2.34,3.98,1.68,1.99,3.4,3.48,3.1,3.14,,,,,
April,,,,,,1.25,2.28,0.28,4.25,1.77,2.16,2.98,1.99,1.76,2.24,,,,,
May,,,,,,3.21,2.8,2.85,1.56,1.92,5.51,3.18,1.16,2.07,1.33,,,,,
June,,,,,,2.2,2.54,4,1.29,3.58,2.83,1.38,2.9,2.7,4,,,,,
July,,,,,,2.48,5.1,5.1,1.38,2.77,2.84,2.05,7.81,4.22,0.93,,,,,
August,,,,,,3.97,1.55,4.8,0.86,2.03,2.79,4.46,3.54,4.83,2.7,,,,,
September,,,,,,2.55,2.05,0.7,1.1,1.59,2.85,6.06,1.32,3.36,4.07,,,,,
October,,,,,,2.56,4,0.63,2.42,2.85,3.66,2.76,3.39,2.38,6.6,,,,,
November,,,,,,1.92,3.71,2.89,2.55,2.43,1.96,5.49,3.24,2.1,5.76,,,,,
December,,,,,,3,2.64,3.81,0.52,4.25,1.8,5.52,1.81,4.49,4.54,,,,,
Total,,,,,,29.36,31.95,32.01,25.58,31.62,31.56,39.04,33.41,37.02,37.5,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is the rectory in Nether Alderley; the observer, Rev E Stanley, was vicar at St Mary's Church from 1805. Altitude is from OS map.",,,,,,,,,,,,,,,,,,,,
