BROUGHTY FERRY TAYSIDE COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO456309,Long,-2.884512,Lat,56.467079,,,,,,,,,,,,,,,
Station no,RR2390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.71,0.22,1.86,0.83,1.56,1.54,1.66,0.7,2.92,2.98,,,,,,
February,,,,,4.2,0.84,0.73,1.04,0.44,0.69,2.04,1.11,2.04,0.61,,,,,,
March,,,,,1.61,2.98,0.95,1.6,3.15,3.02,1,0.95,1.71,3.44,,,,,,
April,,,,,1.36,2.06,0.86,1.88,0.6,3.23,2.03,0.74,0.11,2.2,,,,,,
May,,,,,2.18,1.49,4.88,4,1.59,3.06,0.8,0.73,1.38,3,,,,,,
June,,,,,0.42,0.73,0.96,4.01,0.98,0.82,1.53,0.78,3.26,1.18,,,,,,
July,,,,,1.29,1.47,0.89,2.17,1.95,2.77,3.82,1.05,2.07,0.78,,,,,,
August,,,,,4.69,3.14,4.54,3.45,2.59,1.58,6.8,1.22,2.98,1.34,,,,,,
September,,,,,2.09,1.01,0.93,1.34,4.37,1.38,0.97,0.92,2.4,1.96,,,,,,
October,,,,,0.61,1.69,3.41,5.8,2.59,3.62,1.69,1.25,3.18,1.5,,,,,,
November,,,,,0.61,3.84,3.15,1.02,1.5,0.29,2.68,2.92,1.87,1.51,,,,,,
December,,,,,1.7,1.16,1.89,3.35,2.13,2.89,2.29,4.17,1.72,1.25,,,,,,
Total,,,,,22.47,20.63,25.05,30.49,23.45,24.89,27.31,16.54,25.64,21.75,,,,,,
,,,,,,,,,,,,,,,,,,,,
1904 Gauge moved 300 yds SE,,,,,,,,,,,,,,,,,,,,
