BROUGHTY FERRY TAYSIDE COTTAGE,,,,,,,,,,
Grid ref,NO456309,Long,-2.884512,Lat,56.467079,,,,,
Station no,RR2390,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.96,4.07,,,,,,
February,,,1.17,3.24,,,,,,
March,,,1.01,2.11,,,,,,
April,,,1.79,0.95,,,,,,
May,,,2.08,1.34,,,,,,
June,,,1.45,2.37,,,,,,
July,,,2.8,4.79,,,,,,
August,,,2.41,4.94,,,,,,
September,,,1.15,2.29,,,,,,
October,,,1.13,5.09,,,,,,
November,,,2.76,1.04,,,,,,
December,,,2.51,2.26,,,,,,
Total,,,21.22,34.49,,,,,,
,,,,,,,,,,
1901 end of Gauge moved 400 yds S,,,,,,,,,,
