"BROUGHTY FERRY TAYSIDE COTTAGE",,,,,,,,,,,,
Grid ref,NO456309,Long,-2.884512,Lat,56.467079,,,,,,,
Station no,RR2390,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.74,1.79,0.96,4.07,1.71,0.22,1.86,0.83,1.56,1.54,,
February,3.31,1.25,1.17,3.24,4.20,0.84,0.73,1.04,0.44,0.69,,
March,1.64,1.43,1.01,2.11,1.61,2.98,0.95,1.60,3.15,3.02,,
April,1.54,2.03,1.79,0.95,1.36,2.06,0.86,1.88,0.60,3.23,,
May,1.62,1.83,2.08,1.34,2.18,1.49,4.88,4.00,1.59,3.06,,
June,1.94,2.43,1.45,2.37,0.42,0.73,0.96,4.01,0.98,0.82,,
July,4.08,1.20,2.80,4.79,1.29,1.47,0.89,2.17,1.95,2.77,,
August,3.86,3.56,2.41,4.94,4.69,3.14,4.54,3.45,2.59,1.58,,
September,2.02,1.40,1.15,2.29,2.09,1.01,0.93,1.34,4.37,1.38,,
October,3.23,2.06,1.13,5.09,0.61,1.69,3.41,5.80,2.59,3.62,,
November,4.55,1.74,2.76,1.04,0.61,3.84,3.15,1.02,1.50,0.29,,
December,3.52,2.54,2.51,2.26,1.70,1.16,1.89,3.35,2.13,2.89,,
Total,35.05,23.26,21.22,34.49,22.47,20.64,25.05,30.49,23.45,24.89,,
Calc annual,35.05,23.26,21.22,34.49,22.47,20.63,25.05,30.49,23.45,24.89,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,0.00,0.00,,
