APPLEBY HALL,,,,,,,,,,
Grid ref,SE951150,Long,-0.564,Lat,53.623,Elevation,35,ft,,
Station no,RR79,,,,,,,,,
,,,,,,,,,,
,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858
January,,2.34,1.84,2.37,1.74,1.65,-999.00,,,0.31
February,0.62,1.27,0.75,0.80,2.52,0.35,-999.00,,,
March,0.52,0.73,2.38,1.12,0.79,0.65,1.12,,,-999.00
April,1.98,1.57,1.61,1.25,1.22,0.51,0.30,,,-999.00
May,2.08,1.18,0.72,2.27,1.23,3.39,1.20,,,1.84
June,1.92,1.53,2.73,2.43,3.15,1.67,2.03,,,0.16
July,2.51,3.16,3.00,0.58,2.48,1.90,3.08,,,
August,1.53,2.10,3.07,2.22,1.62,0.98,1.18,,,-999.00
September,2.42,2.07,2.20,4.16,1.18,0.87,0.21,,,-999.00
October,3.01,2.17,1.07,1.84,2.60,1.06,4.37,,,1.78
November,1.64,-999.00,1.13,5.00,1.72,2.10,,,,
December,3.20,-999.00,1.58,2.55,1.40,1.50,,,,
Total,,20.39,22.08,26.59,21.65,16.63,,,,
,,,,,,,,,,
TYRain_1840-1849_D_pt2/190,,,,,,,,,,
TYRain_1850-1859_F_pt1/067,,,,,,,,,,
,,,,,,,,,,
# November-December 1850 are grouped into a single aggregate reading of 2.27 on the sheet.,,,,,,,,,,
# January-February 1855 are grouped into a single aggregate reading of 2.98 on the sheet.,,,,,,,,,,
# March-April 1858 are grouped into a single aggregate reading of 2.25 on the sheet.,,,,,,,,,,
# August-September 1858 are grouped into a single aggregate reading of 4.70 on the sheet.,,,,,,,,,,
