FARNHAM-THE-LOWER-BOURNE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU846453,Long,-0.79051684,Lat,51.200661,Elevation,320,ft.,,,,,,,,,,,,
Station no,RR8773,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.02,2.62,1.19,3.46,,,,,,,
February,,,,,,,,,,0.44,3.88,1.51,2.59,,,,,,,
March,,,,,,,,,3.29,4.04,1.11,1.59,3.56,,,,,,,
April,,,,,,,,,3.68,1.98,1.83,1.93,0.04,,,,,,,
May,,,,,,,,,2.13,1.7,2.11,2.2,2.05,,,,,,,
June,,,,,,,,1.75,0.98,3.99,4.28,2.28,3.73,,,,,,,
July,,,,,,,,2.03,1.73,2.84,2.56,0.65,2.13,,,,,,,
August,,,,,,,,2.82,4.56,1.8,3.47,0.95,4.86,,,,,,,
September,,,,,,,,0.67,1.84,3.31,0.37,0.93,3.03,,,,,,,
October,,,,,,,,5.9,2.99,5.52,3.33,3.55,3.08,,,,,,,
November,,,,,,,,2.3,0.96,0.55,3.52,4.72,1.98,,,,,,,
December,,,,,,,,3.72,3.18,3.98,5.17,7.87,3.56,,,,,,,
Total,,,,,,,,,,31.17,34.25,29.37,34.07,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Vine Cottage, where the observer, the author George Sturt, lived. Altitudes match.",,,,,,,,,,,,,,,,,,,,
220m from FARNHAM-THE-BOURNE-VICARAGE and covers additional years,,,,,,,,,,,,,,,,,,,,
