HASLEMERE-LOWDER-MILL-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU899316,Long,-0.7180937,Lat,51.076693,Elevation,501,ft.,,,,,,,,,,,,
Station no,RR8507,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.13,1.3,3.8,1.64,,,,,,,,
February,,,,,,,,,1.37,0.57,4.9,2.24,,,,,,,,
March,,,,,,,,,3.95,5.23,1.55,2.5,,,,,,,,
April,,,,,,,,,3.75,1.86,2.04,2.19,,,,,,,,
May,,,,,,,,,2.57,2.16,2.15,1.73,,,,,,,,
June,,,,,,,,,1.16,2.92,3.08,2.64,,,,,,,,
July,,,,,,,,,2.77,3.35,2.63,,,,,,,,,
August,,,,,,,,,5.73,2.59,3.08,,,,,,,,,
September,,,,,,,,,2.06,2.99,0.49,,,,,,,,,
October,,,,,,,,,2.93,9.05,3.97,,,,,,,,,
November,,,,,,,,,1.48,0.74,4.62,,,,,,,,,
December,,,,,,,,,4.3,5.48,6.55,,,,,,,,,
Total,,,,,,,,,34.2,38.24,38.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Lowder Mill. Altitudes match.,,,,,,,,,,,,,,,,,,,,
The longer records have been combined as the Main Gauge because the records are unclear as to which records should be combined,,,,,,,,,,,,,,,,,,,,
