HASLEMERE-LOWDER-MILL-OTHER-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU899316,Long,-0.7180937,Lat,51.076693,Elevation,501,ft.,,,,,,,,,,,,
Station no,RR8507,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.07,3.9,-999,,,,,,,,
February,,,,,,,,,,0.47,4.96,-999,,,,,,,,
March,,,,,,,,,,5.35,1.5,-999,,,,,,,,
April,,,,,,,,,,1.91,2.05,-999,,,,,,,,
May,,,,,,,,,,2.17,2.13,-999,,,,,,,,
June,,,,,,,,,,3.02,3.15,-999,,,,,,,,
July,,,,,,,,,,3.3,2.67,,,,,,,,,
August,,,,,,,,,,2.56,3.13,,,,,,,,,
September,,,,,,,,,,3.01,0.51,,,,,,,,,
October,,,,,,,,,,8.48,3.95,,,,,,,,,
November,,,,,,,,,,0.75,4.46,,,,,,,,,
December,,,,,,,,,,5.31,6.46,,,,,,,,,
Total,,,,,,,,,,37.4,38.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Lowder Mill. Altitudes match.,,,,,,,,,,,,,,,,,,,,
The longer records have been combined as the Main Gauge because the records are unclear as to which records should be combined,,,,,,,,,,,,,,,,,,,,
Jan to Jun 1911 is noted as being 13.13,,,,,,,,,,,,,,,,,,,,
